ax,ay,az,gx,gy,gz
-16032,-462,1884,-2250,2040,-282
-15558,-78,2544,-1806,868,-406
-15726,224,3240,-1462,-586,-184
-16196,732,3656,-1076,-1294,64
-16674,290,3812,-78,-1650,678
-16362,-1100,3882,528,-1280,614
-16050,-2000,3424,790,-1360,534
-16164,-1828,2856,848,-1350,708
-16124,-1506,2942,750,-832,824
-16012,-1608,2558,450,-428,550
-16006,-1240,2100,126,-48,174
-15916,-430,2028,-188,502,-408
-16114,132,2044,-300,786,-932
-16264,238,2050,-268,1200,-1358
-16430,-1528,3070,-240,1616,-1546
-16814,-1710,3044,-128,1136,-1306
-17162,-444,2324,626,350,-386
-16822,-184,2680,722,-104,460
-15910,-598,3136,562,-454,788
-15354,-664,3116,478,-692,548
-15550,-792,2854,428,-810,270
-16140,-908,2436,206,-284,-102
-16524,-502,2798,326,232,-336
-16748,-142,2978,752,758,-412
-16730,94,3012,1182,754,-218
-16538,132,3068,1848,462,244
-16470,142,3010,2302,290,532
-16614,182,3046,2698,148,748
-16552,-248,2702,2940,208,786
-16006,-846,2578,2710,446,700
-15498,-1052,2418,2234,332,408
-15712,-660,2342,1948,278,14
-16040,-372,2458,1684,374,-302
-16168,-180,2468,1300,374,-588
-16138,-84,2378,1054,378,-800
-15944,-96,2186,716,350,-1130
-15964,-764,2340,376,284,-1412
-16296,-1408,3606,108,40,-1406
-17216,-972,3552,574,-422,-1032
-17448,-572,3108,772,-596,-192
-16210,-1032,3180,686,-708,608
-15244,-1506,3248,432,-906,500
-15108,-1714,3106,-146,-1400,18
-15914,-1736,2652,-782,-1560,-50
-16618,-1666,2120,-1618,-986,-42
-16608,-1354,2172,-1936,-474,-82
-16566,-884,2346,-1976,-208,-74
-16576,-398,2504,-1742,-182,20
-16492,-350,2572,-1386,-244,60
-16316,-402,2626,-1128,-288,112
