ax,ay,az,gx,gy,gz
-16342,-1638,1408,360,534,202
-16268,-1406,1438,146,216,224
-16198,-1090,1580,2,-72,166
-16050,-734,1792,-138,-384,78
-16126,-476,1878,-90,-604,-10
-16252,-332,1796,52,-688,-88
-16360,-512,1668,376,-554,-120
-16482,-852,1638,512,-336,-142
-16692,-1030,1628,508,60,-128
-16696,-1048,1624,424,470,-58
-16556,-1048,1576,296,772,26
-16262,-1102,1470,184,754,64
-16138,-1112,1310,130,358,44
-16250,-918,1244,-8,-238,62
-16360,-858,1390,-104,-550,96
-16316,-754,1658,-138,-724,60
-16208,-664,1684,-108,-704,-10
-16214,-534,1734,42,-532,-128
-16550,-554,1798,228,-242,-196
-16748,-606,1714,286,-22,-118
-16524,-814,1560,318,318,38
-16244,-1048,1528,290,448,50
-16094,-1334,1428,108,250,10
-16234,-1440,1322,-110,-158,-24
-16526,-1390,1138,-322,-538,70
-16470,-1268,1340,-606,-670,200
-16304,-1032,1590,-732,-654,192
-16238,-620,1832,-702,-530,76
-16314,-382,1824,-462,-318,-48
-16500,-270,1702,-82,76,-160
-16618,-514,1732,110,364,-132
-16468,-928,1676,138,530,-32
-16168,-1450,1544,-42,544,26
-16158,-1728,1296,-310,300,0
-16438,-1516,1128,-720,-166,2
-16616,-1200,1222,-972,-444,142
-16500,-1042,1376,-1112,-532,264
-16174,-664,1592,-1152,-514,238
-16200,-314,1728,-1000,-464,42
-16398,-72,1798,-592,-168,-170
-16552,-174,1794,-182,196,-242
-16550,-620,1882,82,598,-246
-16430,-1034,1834,116,790,-180
-16256,-1182,1830,114,804,-130
-16366,-1128,1600,124,592,-104
-16482,-906,1376,94,410,-30
-16378,-638,1372,164,78,100
-16134,-464,1454,266,-246,108
-16036,-494,1832,312,-616,-54
-16172,-682,1802,384,-884,-176
