ax,ay,az,gx,gy,gz
-1044,-14578,-7452,-316,310,40
-1066,-14570,-7554,-404,366,32
-1056,-14526,-7584,-442,366,66
-1026,-14684,-7498,-308,412,130
-828,-14606,-7470,-246,354,108
-746,-14614,-7518,-206,166,42
-904,-14650,-7494,-242,136,30
-788,-14644,-7488,-356,236,40
-666,-14546,-7614,-456,274,56
-592,-14408,-7720,-470,176,36
-704,-14356,-7774,-436,90,-10
-736,-14372,-7726,-424,-4,-48
-682,-14390,-7716,-356,-54,-40
-546,-14306,-7750,-310,-100,-12
-632,-14226,-7810,-280,-174,12
-778,-14310,-7796,-364,-188,30
-850,-14356,-7874,-400,-184,24
-790,-14326,-7812,-404,-210,8
-812,-14376,-7800,-392,-294,-52
-834,-14508,-7818,-332,-392,-164
-902,-14480,-7850,-254,-424,-250
-992,-14284,-7950,-214,-384,-288
-1082,-14222,-8016,-274,-258,-232
-1018,-14284,-7974,-320,-62,-112
-758,-14218,-8026,-304,142,110
-754,-14046,-8162,-212,306,230
-754,-13838,-8292,-14,480,376
-782,-13666,-8056,168,506,406
-896,-14090,-8066,140,398,416
-26,-14468,-7708,172,80,284
-174,-14696,-7720,318,-488,-62
-972,-14386,-8018,504,-444,-196
-1240,-14302,-7958,464,-186,-168
-1070,-14172,-7702,224,-112,-24
-932,-14252,-7686,108,-206,58
-1158,-14344,-7856,46,-214,72
-1252,-14556,-7912,-36,86,136
-1022,-14532,-7880,-38,306,108
-638,-14464,-7810,4,264,-40
-720,-14370,-7844,0,96,-194
-828,-14358,-7858,-50,-24,-258
-742,-14314,-7826,-110,-10,-192
-652,-14304,-7706,-90,-14,-108
-614,-14368,-7740,-104,-68,-4
-792,-14380,-7860,-142,-96,12
-750,-14482,-7854,-184,-42,80
-756,-14488,-7806,-212,16,70
-814,-14366,-7918,-232,32,12
-798,-14236,-7996,-166,14,14
-820,-14124,-7990,-150,-38,24
