ax,ay,az,gx,gy,gz
-5330,-15228,-1300,-4028,-406,-1362
-6068,-15874,-2394,-3940,-762,-788
-6286,-15724,-2612,-4316,602,40
-4930,-15962,-2140,-3964,1934,1334
-4174,-16102,-2032,-4020,1966,1970
-3668,-16874,-2514,-4620,1584,2302
-2926,-16082,-3418,-5476,1444,2380
-2840,-15568,-3680,-5504,1160,3168
-3664,-15142,-3644,-5320,-156,3692
-4090,-14638,-4814,-5202,-478,4296
-4328,-14330,-5122,-4278,-242,5242
-5100,-14424,-4756,-3442,530,5482
-5344,-14322,-4934,-3148,1808,5200
-3676,-14956,-5314,-3582,3508,3812
-3274,-14426,-5644,-3780,2688,3054
-4764,-13776,-6284,-3846,928,2542
-5352,-13084,-6652,-4470,360,3194
-5366,-13488,-6350,-4844,70,3914
-5774,-12442,-6994,-4754,-934,3764
-5188,-11954,-6698,-4606,-1096,4022
-4316,-13994,-4000,-4688,-2234,5052
-5868,-15816,-4680,-4696,-4830,4448
-7932,-13536,-9084,-4878,-4974,2884
-8726,-11384,-8564,-4254,-2056,2682
-8348,-12014,-6032,-4712,-174,3374
-8034,-13980,-6374,-6042,-286,3984
-8152,-13796,-8124,-6656,-412,3560
-8652,-12504,-9262,-6698,-162,2082
-8578,-10616,-9110,-6448,-200,1536
-8708,-10634,-8742,-5676,-744,2162
-9948,-12536,-9008,-5116,-440,2136
-10284,-14184,-7938,-4826,64,1164
-9360,-13494,-8072,-4638,-1726,-252
-10726,-12862,-10054,-3650,-2518,-378
-12296,-12354,-10178,-2764,-1500,-264
-12602,-10548,-11478,-2222,-762,232
-11616,-10926,-11278,-2874,1868,1202
-9854,-11160,-8320,-2548,2204,2594
-10656,-11072,-10530,-2348,836,3144
-11064,-10606,-12176,-2760,792,4462
-10404,-12298,-12304,-3552,1378,4772
-8652,-14162,-9034,-7072,1384,5652
-10722,-16042,-10136,-5688,892,4680
-9806,-12348,-11252,-8868,562,2834
-10024,-8114,-11504,-10170,730,3678
-10302,-8350,-11226,-10370,1434,5294
-10312,-9718,-11036,-10336,1934,5550
-9832,-7734,-12620,-11570,2552,4538
-7842,-5550,-12860,-13438,3548,3646
-7418,-5524,-10642,-12632,4028,3190
