ax,ay,az,gx,gy,gz
-15770,434,4832,74,8,4
-15690,444,4866,24,2,0
-15696,458,4878,-10,-46,4
-15762,486,4848,-54,-66,26
-15778,464,4824,-52,-48,10
-15730,532,4858,-46,-26,28
-15708,524,4936,-38,-78,28
-15734,590,4856,-4,-134,2
-15748,558,4770,32,-102,-2
-15760,536,4812,56,-68,4
-15782,500,4836,68,-70,-12
-15784,474,4842,60,-56,-14
-15770,512,4812,14,-24,-6
-15728,452,4826,-22,-36,24
-15706,456,4816,-64,-20,32
-15758,404,4950,-104,-24,46
-15738,404,4910,-138,-42,60
-15786,456,4922,-146,-8,82
-15792,464,4906,-130,30,106
-15732,446,4900,-56,44,100
-15646,486,4932,14,72,48
-15622,564,4978,88,4,-18
-15698,584,4882,160,-106,-96
-15782,594,4848,190,-114,-84
-15746,580,4822,250,-56,-88
-15700,618,4914,252,-64,-84
-15718,584,4914,262,-84,-50
-15826,554,4838,252,-90,-30
-15808,528,4808,220,-32,-14
-15724,498,4872,184,-22,-26
-15648,528,4864,170,-72,-52
-15656,526,4880,152,-170,-74
-15740,528,4862,136,-188,-48
-15780,504,4810,102,-180,-44
-15768,452,4858,70,-122,-34
-15762,466,4950,72,-128,2
-15782,460,4828,50,-130,-20
-15710,454,4804,56,-56,-16
-15646,418,4874,18,-100,-24
-15702,424,4926,-22,-164,-42
-15800,408,4900,-38,-204,-28
-15768,428,4888,-74,-152,-6
-15718,456,4942,-80,-126,12
-15670,478,4940,-82,-190,4
-15712,454,4914,-78,-216,4
-15756,440,4856,-108,-194,-16
-15722,502,4910,-90,-172,-14
-15700,528,4952,-64,-204,-14
-15724,486,4964,-44,-292,-2
-15784,500,4912,-12,-280,-6
