ax,ay,az,gx,gy,gz
2072,7114,-14570,-2984,-1830,-1192
2514,7406,-15152,-1674,-734,-1406
2362,7654,-15030,-460,2082,-2108
1838,8544,-14060,510,3210,-1606
1386,8236,-13438,1664,2384,260
1656,7536,-13950,2104,1910,1496
2428,7416,-13842,3246,1758,1512
2418,7024,-14050,2980,808,920
2210,6670,-14394,1414,-712,896
2436,6928,-14318,-548,-3448,1248
2368,6576,-14424,-990,-4332,1160
3242,5946,-15592,458,-2516,786
3368,5954,-15192,1374,-82,-480
2898,6502,-14658,1160,-224,-1596
2606,6380,-15496,170,-1442,-1898
2374,6514,-15388,-1574,-2088,-1922
2230,6586,-14888,-1818,-2526,-1804
2048,6990,-14434,-798,-2094,-1940
880,7750,-13994,978,-2656,-1212
200,7574,-14870,476,-3558,182
662,7258,-14960,34,-4008,1340
1186,6752,-15256,120,-3532,294
1414,6824,-14944,-794,-2202,-684
1110,7368,-14342,414,-754,-1088
736,7212,-14692,1304,134,-762
710,6652,-15108,840,-130,234
920,6606,-15286,-230,-956,254
1016,6752,-14816,-1126,-1458,134
1044,6716,-14788,-1062,-1208,-22
914,6832,-15002,-932,-472,-332
820,6740,-15092,-682,334,-394
762,7030,-15224,-818,1370,-552
630,7150,-14992,-1674,1926,-294
808,7272,-14624,-2014,2128,180
1226,7014,-15024,-1440,2686,222
1526,7122,-15062,-1002,3688,-410
1510,7164,-14230,-886,2932,-564
1646,7322,-14262,-316,1334,-412
1544,7204,-14340,-172,1118,-352
1622,6986,-14788,-60,1082,-394
1638,7002,-14370,-400,1572,-1012
1668,8588,-13710,-128,1368,-1128
1646,7504,-13372,3002,-18,-1352
1576,7278,-14574,3260,-858,-1496
596,7430,-14898,1926,-982,-1242
812,7614,-15228,926,-1152,-598
1092,7024,-15314,462,-786,-24
1046,7062,-15362,694,524,542
674,6626,-15092,214,1642,1322
2026,5502,-15750,-186,2508,2042
