ax,ay,az,gx,gy,gz
-18002,-1054,2170,-1446,76,-916
-17904,-596,2592,-1738,444,-1480
-17866,-248,2510,-1720,656,-1918
-17570,-350,2508,-1458,1032,-2006
-17120,-640,2532,-1408,1286,-2092
-16522,-936,2628,-1274,1440,-2292
-16114,-932,2812,-1264,1296,-2348
-15792,-1046,2776,-1090,894,-2464
-15702,-1202,2528,-1280,726,-2412
-15688,-1760,2376,-1328,972,-2614
-15698,-1984,2838,-1662,1076,-2428
-15464,-1840,2964,-1700,864,-2442
-14986,-1726,2772,-1780,320,-2650
-15272,-1848,3142,-2402,-138,-3400
-15644,-1580,3460,-2870,-782,-3740
-15928,-1334,3284,-3106,-1284,-4412
-16346,-1188,3162,-3322,-2262,-3886
-16212,-1662,2306,-3564,-2002,-4028
-16354,-2158,2326,-3472,-1996,-4032
-16118,-2024,2664,-3632,-1822,-4142
-15848,-2318,2700,-3008,-1930,-4182
-15996,-1890,2774,-2732,-1958,-4060
-16250,-2144,2534,-2650,-1986,-3124
-16286,-2532,2214,-2488,-1774,-2618
-15988,-2972,2118,-2266,-998,-2562
-15542,-2546,2610,-2326,-680,-2254
-15470,-3134,2880,-1734,-824,-2184
-15592,-3456,2764,-1842,-1006,-1590
-15774,-3282,2602,-2038,-1108,-1100
-15658,-2998,2638,-2254,-860,-410
-15538,-3338,2836,-2054,-634,-258
-15290,-3016,3098,-2438,-484,84
-14934,-3190,2994,-2900,-274,366
-14616,-3878,2694,-3656,342,636
-14732,-4406,2742,-4362,646,1124
-15426,-4294,2694,-4446,48,1782
-16472,-3914,2576,-4408,-852,2230
-17126,-3538,2632,-4176,-1044,2208
-17272,-3148,2710,-3832,-846,1880
-16846,-2710,3300,-3432,-744,1332
-16556,-2480,3136,-3224,-1462,1056
-16388,-2692,2306,-2866,-1450,732
-16126,-2814,2144,-2436,-1036,644
-15644,-3326,1802,-1962,-892,632
-15398,-3450,1870,-1692,-814,618
-15370,-3696,2274,-1366,-876,646
-15524,-3734,2532,-1126,-1146,766
-15696,-3474,2408,-978,-1202,948
-15862,-3430,2526,-600,-746,1198
-15682,-3308,2878,-134,-288,1130
