ax,ay,az,gx,gy,gz
-7298,-13450,-4922,-880,-1054,-1356
-8574,-13588,-4654,-1482,-106,-938
-8912,-13630,-4928,-2598,1156,-246
-8258,-13816,-5422,-2950,1698,524
-6958,-14380,-5874,-2892,1284,1376
-5630,-14990,-6118,-2240,790,2106
-5008,-15118,-6126,-2318,-46,2246
-4942,-14664,-5752,-3036,-344,3028
-5386,-14994,-6034,-3800,-696,3866
-5556,-15034,-6782,-4478,-1062,4184
-5620,-14948,-7200,-4826,-1352,4296
-5810,-15622,-6664,-4912,-1664,5050
-6226,-15778,-5858,-4506,-1342,5608
-6284,-16040,-4982,-4372,-924,5938
-6400,-15830,-4888,-4880,-1272,5304
-7602,-15162,-5274,-5292,-1736,4634
-9264,-14652,-6140,-5982,-1474,4306
-9984,-13636,-7600,-6080,-1900,4712
-10512,-11472,-8736,-5768,-2410,5040
-10334,-11178,-9470,-5758,-2134,5392
-11478,-10186,-10336,-4480,-1834,5598
-12576,-10150,-9666,-2374,-1366,5652
-13506,-11496,-9196,-682,50,5728
-13090,-11632,-9774,-446,1146,4828
-11626,-10960,-9404,-696,932,4886
-10772,-11980,-7834,-2122,892,5422
-10798,-11526,-6964,-3252,284,5574
-11706,-9714,-8032,-3866,-882,6276
-11270,-9638,-7898,-4442,-10,7064
-11278,-9162,-7328,-4982,488,6850
-11216,-8188,-9018,-5584,78,5114
-11010,-6668,-9342,-5652,254,3780
-11218,-6088,-8318,-4930,974,2574
-10732,-6932,-7854,-2906,1136,1650
-9872,-6800,-7242,-1912,1212,1386
-9820,-5220,-8404,242,314,1090
-10678,-4414,-8866,2030,-436,1888
-11436,-5810,-9652,2958,-806,3890
-12100,-7926,-11476,976,54,4704
-11442,-10012,-12136,-608,1772,4386
-10232,-9396,-10748,-2234,2756,3174
-9272,-8146,-10044,-4204,2622,2900
-9768,-6198,-9434,-6150,3016,2806
-10386,-4046,-10592,-5250,2364,3208
-9892,-3234,-10982,-4670,3348,2922
-8674,-4084,-10720,-5210,4150,3090
-10058,-4478,-10610,-5924,5160,3490
-12040,-5316,-11744,-5634,6128,3252
-9692,-5556,-9656,-4414,7822,1714
-5556,-2200,-6388,-5850,4406,0
