ax,ay,az,gx,gy,gz
-15632,-494,4962,64,-196,-32
-15536,-452,4960,328,-242,-82
-15614,-414,4986,504,-424,-126
-15748,-448,4918,642,-568,-114
-15788,-562,4788,722,-496,-98
-15800,-700,4892,786,-346,-124
-15864,-826,5048,794,-302,-78
-15868,-964,5004,724,-200,14
-15700,-1028,4862,568,-26,92
-15668,-1088,4974,390,26,84
-15658,-1096,5082,80,-62,68
-15642,-1032,5004,-76,-152,46
-15636,-966,4888,-198,-206,30
-15644,-904,4898,-252,-166,28
-15628,-814,4996,-278,-140,48
-15686,-690,5116,-186,-178,30
-15770,-626,5144,-68,-148,4
-15920,-558,5166,120,2,-2
-15888,-524,5124,270,168,-4
-15698,-538,5172,418,346,-24
-15426,-696,5300,514,296,-76
-15426,-782,5196,506,44,-96
-15530,-754,5044,426,-152,-128
-15566,-778,5006,432,-190,-138
-15668,-698,5092,386,-274,-178
-15710,-532,5130,324,-312,-208
-15734,-562,5182,318,-284,-228
-15804,-714,5204,410,-196,-188
-15730,-708,5124,536,-80,-122
-15554,-624,5058,660,22,-66
-15494,-670,5116,696,-46,-96
-15602,-746,5146,648,-262,-180
-15732,-856,5196,542,-292,-216
-15780,-970,5222,466,-228,-174
-15698,-990,5114,286,-154,-110
-15488,-860,5110,204,-150,-104
-15392,-722,5172,160,-278,-142
-15518,-662,5294,86,-422,-178
-15738,-734,5178,20,-540,-140
-15830,-780,5072,-50,-454,-60
-15834,-818,5116,-98,-292,28
-15620,-870,5184,-166,-116,116
-15518,-952,5242,-202,-120,100
-15672,-972,5234,-214,-258,36
-15804,-794,5184,-224,-158,30
-15740,-694,5200,-162,96,98
-15640,-924,5346,-236,164,116
-15604,-1056,5292,-310,140,116
-15622,-1002,5186,-390,122,98
-15664,-934,5246,-514,170,90
