ax,ay,az,gx,gy,gz
-11556,-2620,-8564,1216,1436,-744
-12614,-2570,-10416,466,292,-762
-13586,-2306,-10050,414,414,-1136
-13606,-2986,-9084,1030,168,-864
-14374,-4182,-9356,914,-690,-464
-14446,-3774,-9214,1148,-380,-750
-13332,-3196,-8406,1576,-168,-976
-12950,-3396,-8116,1464,-784,-670
-13806,-4210,-7872,1162,26,-60
-14676,-4926,-8018,474,1184,280
-14574,-4684,-8010,28,1758,666
-12892,-4694,-7622,306,2076,704
-12030,-3928,-8420,-38,948,158
-12510,-2674,-9354,-28,174,-78
-13282,-2562,-9312,182,46,60
-13240,-2518,-9186,222,-44,168
-12720,-2238,-9230,292,-340,38
-13004,-2504,-9298,408,-628,-284
-13678,-3218,-8878,398,-896,-416
-14276,-3946,-8778,326,-850,-398
-14014,-4096,-8434,344,-378,-474
-13682,-4052,-8382,150,-210,-598
-13484,-3588,-8298,22,-72,-600
-13194,-3744,-8690,-132,-122,-612
-13312,-3572,-8954,-174,-72,-534
-13536,-3292,-9252,30,-56,-460
-13574,-3054,-9232,178,-10,-464
-13440,-2882,-9026,434,242,-344
-13360,-3004,-8988,348,6,-316
-13394,-3044,-8632,290,-62,-228
-13700,-3074,-8642,494,-296,-70
-14002,-2684,-8924,770,-318,146
-13992,-2518,-8494,1394,-108,708
-13666,-2750,-8296,1910,-232,852
-13684,-3312,-7870,2020,244,608
-14370,-4322,-7986,1706,160,152
-14248,-4794,-7660,1488,592,50
-13384,-5422,-7234,876,1008,-176
-12816,-5338,-7836,104,638,-516
-13104,-4250,-9080,-170,52,-468
-13102,-4084,-9512,-56,538,-328
-12700,-4896,-8858,206,722,-342
-12744,-5238,-8500,-490,-210,8
-13524,-4312,-9256,-902,-598,108
-13658,-3832,-9192,-940,-210,280
-13370,-4096,-8532,-1046,-176,332
-13652,-3784,-8746,-842,-612,508
-13852,-3612,-8524,-684,-124,658
-13692,-3794,-8014,-452,154,772
-13416,-4044,-7940,-596,138,856
