ax,ay,az,gx,gy,gz
-16398,-856,1346,-34,182,36
-16398,-864,1380,-18,194,6
-16436,-884,1372,10,168,-4
-16430,-854,1312,68,150,22
-16448,-806,1336,76,180,44
-16402,-858,1372,82,216,76
-16290,-884,1432,92,164,80
-16380,-896,1346,70,84,56
-16454,-852,1342,72,78,46
-16390,-876,1396,74,74,34
-16328,-912,1422,84,24,42
-16372,-898,1400,86,-26,42
-16412,-880,1384,94,-14,20
-16452,-834,1414,100,44,10
-16386,-854,1442,128,90,22
-16374,-860,1382,164,50,-10
-16476,-900,1432,172,50,-18
-16498,-900,1448,152,62,-16
-16390,-906,1406,162,128,-4
-16358,-928,1404,178,150,18
-16360,-926,1434,170,142,8
-16410,-934,1442,138,112,12
-16430,-924,1424,124,132,-10
-16422,-942,1440,96,180,-20
-16390,-924,1422,88,152,-28
-16382,-956,1380,60,130,6
-16370,-944,1424,24,88,14
-16348,-968,1494,-30,96,-6
-16310,-970,1458,-74,20,-20
-16344,-942,1432,-78,8,-40
-16400,-908,1426,-98,12,-72
-16370,-840,1414,-120,52,-112
-16316,-828,1388,-84,10,-160
-16340,-824,1320,-106,-100,-236
-16504,-748,1218,-116,-70,-252
-16648,-630,1128,-122,40,-190
-16614,-604,1066,-146,186,-68
-16482,-640,1086,-112,194,2
-16446,-714,1078,-116,116,34
-16530,-680,1028,-134,132,54
-16498,-536,1018,-200,262,68
-16512,-656,1104,-188,238,114
-16600,-1042,1326,-142,-138,382
-16702,-916,894,-314,-388,628
-16540,-792,770,-258,-400,812
-16080,-916,1026,-268,-380,848
-15920,-604,1440,-38,-518,486
-16008,-386,1654,510,-884,170
-16162,-510,1762,792,-1124,120
-16404,-966,1706,910,-1350,198
