ax,ay,az,gx,gy,gz
-15698,-742,4704,190,-280,-58
-15792,-666,4540,106,-262,-52
-15878,-680,4664,80,-108,-32
-15900,-648,4894,90,70,14
-15854,-604,4878,84,112,92
-15738,-686,4784,72,94,84
-15830,-708,4744,82,92,84
-15772,-664,4732,84,202,76
-15692,-742,4808,76,212,48
-15786,-728,4760,36,180,28
-15762,-658,4730,-38,140,46
-15672,-636,4832,-46,134,64
-15662,-658,4862,-52,74,40
-15814,-646,4878,-82,-70,56
-15892,-556,4736,-100,-48,72
-15806,-492,4700,-98,142,70
-15708,-520,4852,-30,224,66
-15688,-558,4888,2,132,62
-15740,-578,4830,28,52,68
-15786,-572,4706,40,90,52
-15736,-554,4800,74,90,42
-15868,-550,4902,256,74,-16
-15788,-692,4530,270,28,-84
-15780,-598,4554,202,90,-90
-15814,-616,4618,160,68,-42
-15868,-660,4582,146,38,46
-15848,-688,4510,66,212,48
-15806,-588,4654,50,316,30
-15856,-572,4718,42,278,62
-15912,-654,4612,-4,278,112
-15932,-568,4448,-34,338,132
-15920,-466,4626,24,590,168
-15938,-458,4746,16,708,242
-15864,-510,4726,52,618,358
-15758,-612,4502,-26,584,466
-15628,-636,4468,-106,620,486
-15498,-692,4624,-164,430,350
-15586,-662,4624,-194,166,182
-15878,-582,4504,-248,-78,52
-15944,-444,4396,-246,-104,30
-15878,-386,4466,-136,-2,38
-15702,-310,4646,-2,38,12
-15710,-352,4686,142,-136,6
-15922,-318,4574,236,-286,-4
-16042,-358,4476,328,-188,-2
-16004,-498,4454,430,0,0
-15854,-606,4470,466,116,14
-15792,-702,4436,484,90,54
-15720,-780,4448,428,-10,46
-15748,-788,4478,378,-94,-2
