ax,ay,az,gx,gy,gz
-15676,-698,5138,-118,-36,102
-15658,-594,5166,-122,-28,76
-15644,-618,5152,-132,-30,48
-15678,-580,5146,-176,-12,36
-15628,-574,5124,-180,-32,14
-15726,-604,5070,-160,-56,74
-15740,-650,5046,-120,-24,82
-15648,-628,5086,-104,68,104
-15588,-640,5228,-80,70,112
-15552,-682,5162,-110,-6,68
-15636,-702,5126,-104,-102,8
-15704,-624,5050,-124,-154,-18
-15718,-476,5138,-70,-94,-8
-15720,-594,5316,-26,-8,12
-15698,-732,5238,-20,16,18
-15636,-588,5132,22,128,18
-15586,-416,5150,132,146,26
-15574,-404,5146,284,10,-2
-15574,-620,5082,322,-88,-34
-15634,-860,5142,262,-128,-40
-15692,-834,5280,148,-128,-16
-15788,-742,5126,38,-112,6
-15736,-728,4980,-32,-12,-4
-15606,-734,5094,-100,80,40
-15560,-586,5244,-170,0,48
-15576,-468,5196,-128,-96,18
-15682,-454,5136,-76,-114,0
-15788,-460,5114,24,-62,36
-15732,-392,5138,118,52,24
-15630,-416,5174,224,128,-42
-15632,-540,5200,288,62,-46
-15738,-656,5182,320,50,20
-15742,-714,5152,368,160,100
-15666,-712,5184,330,220,92
-15582,-710,5144,318,66,60
-15508,-642,5130,322,4,-38
-15574,-468,5208,398,-36,-98
-15624,-552,5180,432,-64,-136
-15678,-804,5128,338,-98,-146
-15696,-832,5096,264,-70,-80
-15716,-746,5124,118,-44,-14
-15842,-780,5254,-40,-12,48
-15828,-694,5250,-70,90,70
-15632,-512,5196,-94,352,90
-15430,-480,5140,-120,330,106
-15348,-596,5122,-110,152,64
-15526,-672,5104,-72,-126,30
-15708,-566,5156,-68,-220,10
-15752,-638,5150,-106,-310,-18
-15588,-708,4984,-108,-352,-22
