ax,ay,az,gx,gy,gz
-16044,544,3680,-32,50,38
-16040,482,3740,-10,74,18
-16122,486,3694,12,40,16
-16106,530,3680,18,108,18
-16010,508,3778,56,104,32
-15954,510,3806,68,50,12
-15972,462,3832,78,-58,-8
-16048,510,3800,114,-66,0
-16052,492,3808,154,16,-2
-16002,468,3866,142,46,-30
-16008,442,3888,130,-12,-40
-16042,402,3788,92,-84,-22
-16060,426,3764,78,-88,-12
-16016,448,3760,40,-56,6
-15972,428,3812,-48,-100,-12
-15986,434,3760,-94,-172,-28
-16094,484,3700,-126,-208,-30
-16142,494,3742,-162,-152,-12
-16028,510,3780,-98,-52,2
-15968,506,3786,-88,-70,16
-16024,536,3820,-92,-128,-18
-16094,594,3722,-50,-156,-6
-16106,572,3708,-4,-92,14
-16024,534,3832,20,-38,10
-16040,546,3824,36,-94,-4
-15996,524,3798,50,-104,16
-16034,526,3796,52,-106,24
-16060,494,3792,40,-102,44
-16100,496,3770,56,-46,64
-16074,498,3816,48,-16,96
-16008,478,3798,10,-28,84
-16104,388,3860,108,28,64
-16108,396,3898,122,56,92
-16090,404,3924,134,58,174
-16030,316,3828,128,-34,170
-15884,256,3700,82,-238,66
-15832,316,3766,176,-448,14
-16032,308,3904,290,-508,-40
-16316,294,3838,428,-430,-44
-16364,138,3684,656,-196,-74
-16148,312,3756,886,-12,-114
-16018,496,3926,1114,-16,-116
-15986,354,3894,1406,88,72
-15938,188,3758,1602,216,128
-15742,146,3934,1824,230,112
-15660,58,4028,1818,8,-102
-15822,-182,4066,1722,-444,-286
-16094,-222,3974,1516,-798,-380
-16084,-316,3852,1514,-704,-300
-16024,-214,4146,1506,-510,-386
