ax,ay,az,gx,gy,gz
-16202,2150,2928,488,-622,-276
-16426,2110,2736,488,-572,-280
-16528,2122,2628,544,-198,-134
-16376,2004,2580,546,110,2
-16178,1926,2522,458,290,22
-15922,2016,2596,366,362,-70
-15792,1984,2752,320,228,-126
-15950,2080,2756,158,-134,-188
-16168,2228,2646,164,-200,-242
-16108,2378,2804,430,-48,-230
-15974,2406,3000,546,-90,-182
-15998,2304,2908,594,-252,-150
-15982,2250,2836,810,-292,-136
-15918,2248,2956,1008,-254,-110
-15920,2266,2988,1128,-420,-134
-16088,2278,2950,1132,-510,-142
-16118,2116,2786,1160,-440,-92
-16026,1992,2900,1096,-342,-54
-16014,1976,3074,988,-404,-44
-16282,1986,2870,780,-482,-34
-16464,1944,2736,580,-288,-12
-16282,1858,2860,384,-32,48
-16074,1904,2812,222,-48,-22
-16056,2064,2730,168,-48,-92
-16068,2254,2790,182,-82,-160
-16082,2298,2814,166,-100,-164
-15996,2298,2790,296,-40,-110
-15814,2258,2882,414,-12,-102
-15744,2314,3044,514,-184,-54
-15900,2356,2956,608,-304,-16
-16088,2314,2856,718,-306,48
-16130,2172,2876,798,-198,124
-16046,2172,2988,840,-182,126
-16008,2178,2958,900,-380,50
-16148,2292,2898,978,-456,0
-16270,2234,2860,1066,-396,-68
-16262,2172,2870,1024,-362,-120
-16226,2190,2936,950,-330,-160
-16136,2042,2884,876,-226,-170
-16100,1958,2906,744,-180,-108
-16174,1916,2834,614,-90,-52
-16134,1946,2800,490,54,-10
-15996,1932,2890,382,104,46
-15970,2070,2750,302,-34,140
-16068,2208,2728,300,-26,216
-16078,2238,2666,292,-14,198
-16146,2290,2784,274,-38,178
-16176,2196,2714,282,-78,98
-16102,2202,2688,264,-56,62
-16032,2154,2750,212,-48,46
