ax,ay,az,gx,gy,gz
-15512,-952,2402,-760,-1880,1512
-15162,-800,2164,-666,-1782,2604
-14552,-1286,2606,-804,-1936,3620
-14190,-1702,2584,-380,-2632,4660
-14808,-1746,3438,-310,-3424,5482
-16500,-1212,5110,-80,-4180,5578
-19510,-682,7112,730,-4434,3758
-23300,-672,6420,658,-4572,518
-21014,1416,1360,-1788,-566,-1194
-16370,1226,1714,-1860,3704,-352
-12296,-430,4942,-1610,4412,344
-11076,-388,6602,-1076,1278,342
-13200,870,6036,-438,-3438,-166
-16156,1348,3616,38,-4462,-612
-18708,1630,2888,402,-2752,-1110
-18918,1626,3188,594,434,-682
-16970,1470,3942,628,1850,16
-14698,1006,4698,836,1846,368
-14000,362,5044,1082,856,338
-14948,266,4702,1028,-854,-186
-15990,554,4084,772,-1476,-380
-16550,616,3778,650,-1226,-404
-16496,874,4018,768,-440,-534
-16128,836,4224,916,-38,-576
-15892,790,4268,936,244,-460
-15932,800,4214,982,390,-254
-15896,456,4310,948,360,-170
-15796,550,4332,938,128,-292
-15854,568,4262,988,-6,-392
-15974,694,4284,944,92,-360
-16002,540,4292,832,200,-272
-15898,360,4300,652,252,-214
-15754,174,4248,474,206,-266
-15744,290,4268,310,154,-256
-15924,388,4502,254,184,-140
-15998,468,4488,214,200,-100
-15998,422,4338,160,234,-80
-15862,390,4296,88,288,-62
-15786,276,4224,-114,220,-90
-15824,312,4150,-302,140,-138
-15934,414,4076,-382,76,-140
-16006,418,4108,-348,156,-104
-15986,480,4126,-370,96,-38
-15902,506,4082,-336,16,50
-15874,404,4174,-240,60,106
-15808,278,4332,-138,4,38
-15816,326,4340,-114,-114,-10
-15918,406,4288,-100,-148,-14
-16016,422,4302,-44,-72,-36
-15984,370,4242,36,-40,-18
