ax,ay,az,gx,gy,gz
-15626,144,4612,1728,210,-180
-15644,54,4660,1802,134,-272
-15692,16,4712,1790,-40,-298
-15732,34,4662,1730,-188,-336
-15810,-82,4618,1588,-232,-342
-15892,-200,4638,1412,-186,-336
-15940,-288,4604,1178,-102,-304
-15956,-292,4508,916,-38,-262
-15798,-308,4412,640,-12,-194
-15804,-234,4474,374,-44,-116
-15902,-188,4484,182,-34,-58
-15946,-138,4442,30,12,14
-15918,-74,4438,-94,52,40
-15952,-68,4524,-194,122,82
-15932,-120,4572,-304,248,122
-15852,-176,4608,-314,372,162
-15742,-80,4698,-368,370,124
-15708,164,4670,-362,148,108
-15684,208,4482,-320,-14,102
-15614,378,4374,-208,-110,126
-15694,384,4596,-112,-188,178
-15906,326,4616,-104,-280,172
-16114,202,4550,-102,-194,200
-16082,144,4598,-100,134,182
-15904,160,4760,-114,350,164
-15668,294,4780,-78,328,166
-15618,278,4626,-2,144,130
-15664,296,4554,32,58,24
-15820,290,4584,48,-50,-42
-15940,312,4564,70,-84,-12
-15902,218,4536,94,4,28
-15848,100,4540,148,40,-2
-15826,260,4602,214,66,30
-15802,206,4640,320,98,6
-15806,256,4580,306,88,-26
-15866,226,4570,280,56,14
-15886,140,4564,242,44,14
-15840,144,4500,174,68,-6
-15774,90,4502,152,52,8
-15752,42,4484,106,34,8
-15842,6,4514,20,-12,24
-15884,4,4592,-74,-34,22
-15878,-18,4596,-178,-16,8
-15852,36,4550,-250,34,10
-15810,20,4506,-290,90,10
-15816,22,4526,-302,52,36
-15854,54,4460,-292,10,40
-15820,62,4502,-264,40,54
-15794,82,4530,-192,30,50
-15846,82,4476,-146,-32,36
