ax,ay,az,gx,gy,gz
-15138,-2596,7296,396,-1340,-284
-15172,-2534,7208,340,-1084,-360
-15306,-2494,7374,228,-844,-340
-15434,-2362,7556,182,-694,-250
-15432,-2450,7532,262,-248,-182
-15378,-2510,7674,386,172,-44
-15108,-2434,7598,578,610,218
-14848,-2360,7662,684,914,356
-14806,-2154,7812,812,1026,396
-15020,-2190,7764,968,1130,420
-15384,-2374,7512,924,1242,440
-15636,-2306,7094,806,1582,468
-15164,-2098,6966,800,2014,564
-14516,-1814,7138,664,2152,680
-14666,-1696,7146,614,1856,670
-15324,-1682,6912,546,1570,694
-15858,-1572,6322,460,1870,914
-15696,-1286,6140,456,2556,1052
-15128,-1140,6180,482,3044,1184
-14882,-1122,6248,430,2964,1254
-15012,-1012,5950,250,2624,1170
-15230,-790,5650,148,2450,1082
-15438,-450,5402,106,2394,1030
-15438,-202,4978,266,2412,1014
-15126,-200,4552,384,2332,964
-15352,114,4432,592,1468,982
-15676,-138,4170,422,1094,766
-15886,-354,3764,262,754,598
-16346,-272,3366,86,448,608
-16124,-390,2820,-110,686,528
-16178,-252,2816,-204,968,474
-16088,-254,2910,-194,1096,432
-15912,32,2880,-322,1242,278
-16020,198,3012,-304,1208,268
-16184,324,3000,-308,1056,294
-16232,390,3050,-208,1090,136
-16166,438,3152,-86,1048,224
-15962,154,3240,50,698,116
-15814,-18,3212,58,312,-36
-15708,-180,3290,64,-190,-226
-15842,-242,3400,6,-586,-330
-15986,-284,3282,-104,-902,-366
-15958,-226,3232,-258,-1082,-418
-15896,-180,3322,-270,-1152,-490
-15932,-122,3466,-302,-1378,-588
-15950,8,3368,-302,-1540,-644
-15858,82,3226,-190,-1506,-662
-15808,-52,3582,52,-1464,-678
-15942,-142,3800,52,-1660,-812
-15956,-264,3650,24,-1898,-790
