ax,ay,az,gx,gy,gz
-16130,-208,2430,-276,72,446
-16208,-226,2390,-464,-152,458
-16424,-314,2068,-766,-422,526
-16604,-2,1796,-1028,-524,768
-16488,378,1924,-1094,-566,974
-16226,428,1802,-1112,-660,1072
-16114,202,1568,-1186,-570,862
-16000,290,1494,-1256,-344,454
-16042,668,1430,-1116,-30,-16
-16104,912,1450,-828,210,-336
-16074,868,1702,-576,516,-674
-16206,608,1786,-362,506,-914
-16564,438,1800,-134,508,-1018
-16598,148,2106,134,494,-820
-16656,-212,2298,332,254,-506
-16900,-430,2404,406,-112,-2
-16936,-386,2404,358,-266,462
-16476,-196,2326,78,-466,874
-16190,-30,2096,-94,-624,992
-16098,182,1838,-342,-686,884
-16214,428,1618,-514,-576,678
-16290,746,1458,-552,-372,450
-16166,928,1360,-482,-20,56
-15904,902,1386,-372,294,-334
-15986,750,1470,-86,446,-816
-16412,580,1528,198,600,-1036
-16676,466,1690,446,802,-1038
-16542,48,2152,726,806,-780
-16536,-326,2426,932,484,-444
-16834,-386,2488,998,-32,68
-16908,-298,2406,906,-214,548
-16476,-168,2310,648,-444,952
-16148,-90,2154,458,-618,1036
-16102,-4,1906,194,-690,948
-16220,282,1600,-88,-570,684
-16242,518,1478,-214,-324,440
-16120,596,1384,-226,78,36
-15896,710,1468,-148,328,-382
-16112,586,1486,122,504,-834
-16356,550,1514,382,720,-1100
-16376,294,1848,620,858,-1172
-16394,-238,2340,934,672,-1036
-16686,-538,2540,1236,218,-606
-16970,-504,2436,1374,-412,162
-16750,-584,2394,1130,-696,700
-16342,-618,2310,590,-938,1020
-16312,-452,2034,80,-904,988
-16422,-140,1676,-392,-686,818
-16390,578,1228,-690,-252,658
-16186,1120,1044,-728,26,496
