ax,ay,az,gx,gy,gz
-1036,-12324,-10508,32,60,250
-1086,-12316,-10482,54,82,198
-1100,-12570,-10424,132,104,136
-1038,-12650,-10314,142,184,50
-934,-12548,-10292,124,176,-40
-822,-12696,-10308,148,112,-48
-800,-12858,-10284,166,-28,-98
-856,-12800,-10310,206,2,-152
-702,-12696,-10218,112,32,-190
-522,-12736,-10198,60,50,-124
-542,-12732,-10172,10,-46,-76
-558,-12648,-10258,-30,-84,-16
-550,-12760,-10270,2,-60,22
-540,-12724,-10318,-74,-114,34
-700,-12672,-10286,-34,-168,94
-816,-12676,-10252,-74,-184,150
-784,-12752,-10192,-80,-102,210
-844,-12704,-10252,-114,-160,178
-880,-12662,-10368,-106,-88,130
-898,-12546,-10364,-94,-102,106
-946,-12498,-10406,-108,-132,70
-864,-12504,-10408,-90,-86,52
-826,-12502,-10416,-36,-66,46
-848,-12462,-10464,50,-36,42
-946,-12526,-10414,84,-26,48
-974,-12490,-10466,124,66,62
-886,-12452,-10432,160,108,74
-812,-12498,-10352,254,132,92
-782,-12618,-10348,268,76,66
-856,-12638,-10388,264,30,18
-868,-12652,-10350,262,-10,-38
-810,-12768,-10304,258,-6,-56
-820,-12652,-10286,264,-4,-28
-842,-12650,-10278,298,76,34
-802,-12816,-10238,200,118,58
-774,-12652,-10236,240,140,22
-650,-12644,-10136,178,98,68
-706,-12884,-10164,106,32,80
-652,-12854,-10226,72,-14,106
-738,-12812,-10164,62,-132,104
-962,-12546,-10350,20,126,152
-704,-13050,-9600,-230,38,302
-902,-12870,-10454,-60,-394,14
-1194,-12582,-10560,50,-158,-62
-978,-12642,-10236,-56,76,-28
-1054,-12726,-10118,-148,14,-78
-1058,-12784,-10270,-138,4,-112
-874,-12632,-10306,-236,198,8
-694,-12726,-10280,-204,144,56
-750,-12642,-10296,-194,64,-44
