ax,ay,az,gx,gy,gz
-16986,22,-3896,-2200,1884,-312
-17654,418,-4510,-2228,1910,-288
-17342,660,-4242,-2162,2288,-196
-16472,844,-4602,-2204,2694,-2
-16200,800,-4276,-2104,2806,-272
-16364,738,-4630,-1658,2620,-484
-16722,190,-4866,-1350,2160,-510
-16712,-240,-4994,-1434,2198,-656
-16078,-328,-4894,-1714,2374,-770
-15676,96,-5014,-1812,2442,-716
-16024,318,-4620,-1600,2408,-566
-16556,220,-4794,-1312,2434,-872
-16178,602,-4804,-1268,2372,-582
-15886,210,-4604,-1368,2226,-222
-15930,-178,-5352,-1438,2030,-90
-15950,60,-5536,-1446,2298,-118
-16124,616,-5782,-1462,2586,-88
-15788,1044,-5480,-1430,3120,132
-15698,916,-5382,-1264,3208,282
-15968,520,-5604,-1094,3002,412
-16082,302,-5756,-1060,2908,424
-15676,436,-6178,-1332,2778,490
-15638,826,-6252,-1252,2764,542
-15586,1358,-6272,-1108,2966,518
-15616,1552,-6880,-924,3148,574
-15244,930,-6686,-1108,3582,620
-14644,1308,-6682,-804,3760,284
-14454,1662,-6636,-326,4022,300
-14688,1632,-6696,-130,4270,182
-14880,812,-6900,-124,4228,-276
-14844,846,-7284,-264,3906,-676
-14570,1800,-7432,-350,3954,-644
-14922,2056,-7768,-250,4266,-520
-15382,558,-8470,-332,4508,-628
-15542,288,-8888,-958,4410,-820
-14976,820,-8510,-1110,4706,-1006
-14224,1330,-8318,-968,4322,-1026
-14578,1036,-9202,-788,3970,-1334
-14534,942,-9320,-900,3964,-1792
-13926,1078,-9420,-1378,3206,-1638
-13604,1964,-9052,-1508,2962,-914
-13246,1122,-9288,-1074,2870,-766
-13152,8,-9634,-700,2374,-1006
-12862,196,-9442,-1132,2028,-916
-12558,908,-9456,-1096,2062,-514
-12446,1328,-9416,-444,2192,-168
-12592,1066,-9846,-94,2178,-240
-12416,776,-9614,-88,2322,-280
-12272,610,-9428,-26,1994,-42
-12554,-210,-10072,-208,1616,164
