ax,ay,az,gx,gy,gz
-2060,-15662,-4214,-142,-166,62
-2042,-15688,-4238,-126,-198,52
-2084,-15748,-4300,-56,-206,36
-2198,-15694,-4288,36,-110,30
-2134,-15672,-4150,22,-86,10
-2092,-15578,-4230,24,-110,14
-2100,-15638,-4306,64,-88,24
-2164,-15664,-4276,136,-64,14
-2038,-15680,-4224,126,-58,-10
-1978,-15680,-4166,86,-96,0
-2032,-15736,-4180,166,-120,-24
-2110,-15654,-4236,276,-110,-18
-2182,-15546,-4242,274,-96,6
-2100,-15636,-4224,306,-104,40
-2092,-15696,-4214,336,-98,-10
-2138,-15734,-4156,376,-6,-20
-2018,-15698,-4064,398,-40,-18
-2002,-15786,-4024,294,-98,24
-2170,-15904,-4058,322,-144,-16
-2148,-15820,-4042,370,-56,-22
-2038,-15716,-3936,346,-16,10
-2002,-15734,-3958,286,-96,16
-2114,-15808,-4004,242,-118,16
-2162,-15828,-3966,200,-62,28
-2108,-15810,-3940,180,-62,18
-2144,-15772,-4014,170,-46,8
-2080,-15838,-3936,166,-74,-14
-2048,-15820,-3932,204,-90,-8
-2022,-15716,-3922,164,-114,-4
-2032,-15756,-3922,114,-154,-8
-2118,-15798,-3970,118,-128,42
-2154,-15790,-4020,126,-40,36
-2106,-15774,-3962,126,-2,28
-2070,-15826,-3926,148,-8,16
-2078,-15724,-3924,212,-40,6
-2078,-15724,-3914,152,-126,-12
-2122,-15728,-3894,122,-130,-6
-2198,-15782,-3950,86,-62,28
-2232,-15840,-3998,158,50,36
-2086,-15670,-3890,130,128,52
-1982,-15792,-3800,136,-4,-2
-2102,-15794,-3886,136,-96,-44
-2136,-15774,-3900,150,-42,-54
-2150,-15726,-3954,118,38,-14
-2010,-15824,-3814,96,34,16
-1970,-15828,-3794,98,-52,6
-2064,-15852,-3816,106,-94,28
-2184,-15770,-3898,110,-54,32
-2102,-15766,-3890,86,6,36
-2038,-15852,-3780,30,-54,30
