ax,ay,az,gx,gy,gz
-16392,706,3102,-4,1760,642
-16482,828,3074,152,1920,694
-16586,968,2854,182,2088,744
-16306,398,2682,-92,2646,1008
-15214,572,2718,-160,2370,1262
-13824,972,2874,-108,1080,1412
-13414,632,3278,-212,-1852,1290
-14446,204,2414,-746,-3914,802
-16428,98,1364,-1118,-4506,492
-17320,274,1010,-1134,-3846,244
-17294,526,1006,-1270,-2262,-306
-16754,1102,2134,-1324,-1176,-734
-16438,1118,2378,-1210,-702,-996
-16400,1330,2708,-1056,-538,-1294
-16314,1944,3408,-802,-872,-1192
-16390,2142,2964,-540,-1434,-696
-17020,1912,2496,-230,-1220,-202
-17428,992,2462,122,-582,-108
-17114,556,3132,18,278,-504
-16732,680,3668,-198,150,-718
-16324,1270,3558,-40,-316,-500
-16034,1528,3376,184,-402,-202
-15740,1578,3474,324,-380,62
-15444,1322,3598,428,-572,308
-15294,1104,3632,414,-888,518
-15348,986,3578,484,-1286,604
-15630,952,3540,566,-1418,396
-16042,1076,3558,608,-1434,82
-16144,1144,3496,652,-1392,-6
-16044,922,3548,902,-1312,-10
-15676,704,3826,1086,-1328,-24
-15522,554,4024,1120,-1680,-204
-15484,566,3954,1230,-2102,-282
-15496,520,3802,1324,-2412,-212
-15594,408,3808,1344,-2522,-264
-15602,638,4058,1306,-2636,-510
-15348,724,4236,1138,-2700,-568
-15238,-12,4770,850,-2884,-440
-15666,-538,5308,402,-3400,-576
-16330,-734,5294,-74,-4080,-972
-16762,-276,4894,-208,-3956,-1258
-17076,428,4534,-104,-3232,-1354
-16788,1082,4232,180,-2072,-1228
-16228,1036,4044,244,-1418,-906
-15794,910,3820,436,-1150,-446
-15818,588,3746,394,-1124,-122
-16112,320,4004,156,-1076,-62
-16236,220,4170,-54,-998,-146
-16286,320,4534,-288,-838,-208
-16280,594,4702,-396,-454,-170
