ax,ay,az,gx,gy,gz
-16002,214,4052,-56,2,24
-15948,222,4112,-114,14,86
-15844,262,4176,-186,12,104
-15914,208,4176,-254,-48,50
-15976,456,4046,-296,-18,40
-15972,632,4106,-314,32,154
-15912,648,4240,-314,-44,246
-15912,530,4242,-318,-116,228
-15990,610,4108,-270,-78,148
-15950,750,4044,-192,-20,146
-15864,732,4136,-154,46,178
-15812,660,4278,-126,16,154
-15906,580,4240,-54,-138,58
-16018,552,4148,-58,-110,-8
-16054,592,4150,-8,50,16
-15932,536,4226,18,100,70
-15834,496,4290,40,54,50
-15896,452,4294,42,-58,38
-15952,444,4198,18,-106,26
-15966,374,4128,10,18,18
-15980,448,4218,-10,92,30
-15964,408,4292,16,80,58
-16002,342,4236,18,70,48
-16034,246,4212,4,168,4
-15954,94,4190,18,246,-36
-15868,92,4192,-10,258,-30
-15894,18,4182,-76,212,-24
-15942,-4,4176,-92,178,-22
-15924,26,4130,-102,196,-44
-15920,-32,4148,-154,138,4
-15962,-144,4156,-166,48,26
-16014,-78,4132,-166,26,-58
-16016,48,4116,-164,88,-128
-15970,114,4136,-162,200,-110
-15960,-122,4168,-128,316,-102
-15984,-166,4162,-86,342,-86
-15938,-18,4094,-60,278,-48
-15928,60,4022,26,240,-40
-15896,230,3972,138,290,-240
-15966,50,4142,342,258,-106
-15932,228,4166,562,292,-162
-15870,208,4144,780,250,-68
-15944,116,4256,886,288,-80
-16002,-94,4266,844,460,-52
-15748,322,4340,928,546,-228
-15674,352,4262,1152,184,-164
-15840,288,4486,1084,46,-154
-15744,210,4286,968,-240,-228
-15818,474,4034,882,-396,-244
-15932,562,4112,852,-320,-24
