ax,ay,az,gx,gy,gz
-612,-12756,-10020,2,-14,-92
-626,-12842,-9986,84,-58,-30
-672,-12958,-9890,84,-146,70
-710,-13068,-9936,94,-180,114
-996,-12942,-10050,168,-198,72
-1276,-12926,-10032,114,-40,38
-1058,-12898,-9916,24,126,10
-800,-12674,-10056,82,140,4
-700,-12604,-10152,238,134,36
-816,-12738,-10050,434,32,40
-892,-12910,-9878,502,-30,34
-938,-13178,-9726,450,-46,26
-1058,-13382,-9764,260,86,-2
-948,-13322,-9756,128,132,-20
-746,-13128,-9750,42,146,-52
-630,-13068,-9748,-14,110,-56
-572,-12994,-9772,-16,-34,-10
-598,-13032,-9806,-8,-144,66
-896,-13078,-9796,4,-176,82
-1072,-13168,-9836,-156,-66,36
-936,-13142,-9848,-238,-78,-16
-820,-12990,-9922,-196,-62,-44
-760,-12912,-9872,-168,-42,-28
-768,-12880,-9820,-190,-46,24
-786,-12950,-9802,-220,-130,58
-920,-13030,-9920,-236,-146,52
-946,-12908,-10068,-228,-80,46
-848,-12844,-10154,-150,-26,16
-724,-12726,-10108,8,-26,24
-728,-12650,-10080,122,-42,62
-770,-12658,-10078,230,-72,92
-880,-12752,-10006,312,-136,96
-1074,-12926,-10010,372,-114,74
-1062,-12970,-9858,338,22,22
-922,-12964,-9904,362,38,4
-892,-12900,-10004,464,10,18
-974,-12946,-9972,506,74,10
-938,-13022,-9744,442,86,10
-882,-13246,-9630,350,-44,-88
-882,-13286,-9672,246,-84,-142
-786,-13236,-9700,164,-96,-126
-742,-13168,-9740,126,-64,-82
-728,-13122,-9656,28,-62,-36
-658,-13200,-9694,-100,-106,22
-692,-13172,-9748,-148,-176,82
-996,-13162,-9842,-102,-166,100
-1192,-13044,-9872,-160,-82,52
-1050,-13008,-9836,-254,-8,-48
-866,-12960,-9890,-282,-14,-114
-694,-12866,-9920,-178,-2,-98
