ax,ay,az,gx,gy,gz
-10858,-11302,-4774,258,-158,-82
-10964,-11350,-4758,258,-114,-112
-10804,-11450,-4796,296,-154,-120
-10740,-11396,-4842,336,-158,-104
-10808,-11296,-4838,342,-62,-118
-10792,-11532,-4748,326,84,-98
-10610,-11584,-4694,270,-2,-98
-10612,-11414,-4742,230,-178,-134
-10754,-11190,-4710,272,-152,-104
-10744,-11506,-4602,244,-60,-16
-10682,-11728,-4602,164,-86,78
-10810,-11654,-4710,132,-54,40
-10858,-11330,-4728,140,-22,-14
-10744,-11302,-4626,158,-56,-54
-10764,-11544,-4656,174,-96,-62
-10804,-11664,-4640,160,-92,-10
-10778,-11536,-4694,112,-68,26
-10848,-11552,-4602,148,16,32
-10762,-11472,-4706,82,-8,-20
-10734,-11402,-4648,66,40,-36
-10732,-11494,-4544,94,-54,-22
-10686,-11492,-4712,132,-100,-8
-10708,-11522,-4636,130,36,12
-10800,-11650,-4560,112,-12,-14
-10766,-11590,-4590,46,-134,-70
-10690,-11432,-4658,54,-160,-104
-10590,-11346,-4658,20,-186,-134
-10612,-11468,-4638,58,-308,-146
-10706,-11538,-4584,160,-346,-150
-10862,-11508,-4488,246,-376,-86
-10846,-11400,-4444,156,-316,-56
-10754,-11634,-4494,114,-204,-8
-10688,-11728,-4602,8,-198,-14
-10742,-11698,-4616,-12,-200,-40
-10756,-11660,-4490,-98,-192,-40
-10644,-11552,-4484,-132,-262,-74
-10654,-11450,-4370,-20,-278,-116
-10810,-11436,-4480,-8,-296,-150
-10836,-11432,-4570,-20,-246,-70
-10832,-11630,-4502,-24,-52,-20
-10772,-11572,-4358,-94,-18,-54
-10652,-11490,-4324,-68,-218,-14
-10678,-11614,-4402,-114,-198,136
-10702,-11500,-4522,-160,-242,154
-10870,-11456,-4578,-130,-286,46
-10872,-11374,-4458,-68,-156,-60
-10862,-11442,-4470,52,-70,34
-10840,-11740,-4522,0,140,122
-10852,-11732,-4716,58,172,192
-11084,-11682,-4800,286,226,264
