ax,ay,az,gx,gy,gz
-16136,742,3406,92,194,202
-16048,772,3322,132,228,160
-15958,942,3388,112,216,88
-15938,758,3360,64,148,44
-15898,752,3372,-108,52,30
-15952,846,3424,-182,-146,-6
-15962,878,3444,-236,-242,-34
-15824,852,3438,-214,-148,-82
-15722,900,3538,-150,-148,-160
-15806,920,3562,-150,-164,-276
-15992,926,3406,-46,-104,-292
-16266,1064,3374,4,6,-280
-16574,922,3372,128,146,-94
-16454,822,3424,218,200,64
-16276,854,3494,298,224,60
-15916,904,3620,418,52,66
-15848,720,3636,438,-128,60
-16194,806,3426,362,-198,-42
-16284,790,3242,332,-78,-62
-16082,748,3316,228,120,-86
-16044,628,3444,104,112,-84
-16116,634,3510,-4,-74,-96
-16220,902,3346,-20,-60,-50
-16184,812,3404,-22,86,20
-16076,744,3530,-90,82,6
-15952,732,3546,-108,10,-16
-16090,736,3460,-138,-42,-16
-16162,838,3382,-142,-24,32
-16062,818,3366,-168,78,100
-16010,814,3438,-132,124,112
-16126,892,3414,-108,66,74
-16242,950,3346,-24,178,122
-16232,794,3364,6,288,196
-16202,802,3434,26,284,188
-16136,808,3420,34,252,176
-16218,764,3370,36,282,138
-16226,794,3294,-24,352,116
-16202,806,3270,-96,394,166
-16082,682,3270,-174,448,178
-16044,778,3304,-250,412,148
-16090,806,3252,-300,342,98
-16246,772,3240,-360,252,62
-16328,762,3232,-416,246,6
-16282,908,3182,-466,186,-52
-16176,848,3214,-506,224,34
-16092,804,3290,-568,64,90
-16112,850,3202,-602,-20,102
-15986,942,3130,-584,36,94
-15780,872,3170,-506,52,78
-15754,864,3238,-486,60,-18
