ax,ay,az,gx,gy,gz
-16444,3022,1424,-5252,-380,-800
-16768,3720,1184,-4616,278,-584
-16670,4040,1064,-3596,1180,-402
-16072,3978,1254,-2680,1612,-452
-15722,4196,2840,-1392,1576,-482
-16550,3196,5120,-30,724,56
-17370,3816,4542,394,-1200,464
-18076,5440,2718,2122,-2102,1630
-18432,5112,2350,3714,-1606,2930
-18006,752,2922,4230,-682,3678
-17020,-1452,4456,3668,-400,2806
-16672,-2186,6540,2060,-2040,1142
-17526,-1432,5812,1014,-2932,546
-18118,-730,4338,396,-1672,878
-17554,-1642,3722,-68,1076,1154
-16450,-2514,4032,-722,2464,1054
-15032,-2722,4628,-1778,3156,752
-14174,-2110,5448,-2288,2982,464
-13620,-1198,5444,-2666,2362,292
-13446,12,5068,-2694,1972,378
-13578,738,4412,-2274,1612,624
-14516,868,3572,-1030,1194,1368
-15554,458,3778,-462,1014,1748
-17008,892,3902,576,450,922
-18112,1266,3268,1012,546,374
-18826,934,2670,1418,1218,-486
-18136,38,2606,1482,2356,-1398
-16176,-184,2922,1238,2392,-1988
-14554,-850,3122,978,1252,-2480
-14676,-1268,3162,556,30,-2918
-15748,-274,2544,-68,-1030,-3262
-16524,592,1350,-312,-866,-2954
-16596,1230,1100,-270,156,-2444
-15736,914,1268,-174,1084,-1528
-15104,494,1128,-62,1196,-1118
-14962,134,1546,-76,700,-602
-14992,300,1296,-390,-186,-170
-15498,108,612,-680,-764,304
-16016,-200,322,-1160,-578,822
-16628,-18,52,-1522,-134,1112
-16840,18,-24,-1756,726,1618
-16698,-398,516,-2068,1578,1900
-16332,-250,1088,-2772,2136,1908
-16438,-14,2,-2764,1590,1690
-17200,136,-720,-2868,1522,1200
-18320,-292,1082,-2324,2460,-22
-20618,-1672,4118,-1654,3016,-1544
-22804,-2056,2484,-3392,2010,-3858
-18814,-2110,1650,-6020,2792,-3632
-14772,-1004,2744,-5742,3270,-1428
