ax,ay,az,gx,gy,gz
-7152,-7016,-11726,2484,-7242,-4106
-7534,-8318,-11818,3914,-9318,-2044
-7882,-8672,-12060,5620,-10730,-2768
-8686,-7490,-12582,4416,-12398,-2752
-8856,-8320,-13570,3542,-13166,-1794
-9164,-7512,-14602,2336,-6830,-860
-8304,-8086,-12216,-614,-2916,-1354
-8402,-8986,-10594,-1212,-546,-962
-8914,-8936,-10826,-450,686,-586
-8322,-8442,-11338,-1486,1058,1268
-7980,-8594,-11462,-2400,2028,654
-8006,-8742,-11084,-2558,3030,190
-7836,-9098,-11466,-1402,4512,242
-7720,-9068,-12514,-284,7570,-26
-8294,-8454,-11522,314,8820,-616
-8544,-8492,-11864,472,6764,-636
-8610,-8772,-11206,524,2130,-612
-8354,-9002,-9644,2658,-2356,-1338
-7992,-8412,-10760,5000,-5208,-1770
-8356,-8564,-10748,4942,-4524,-994
-8622,-7752,-12696,3870,-3924,1072
-8158,-7188,-13886,302,3440,2298
-7674,-8818,-11080,-2216,4414,3296
-7486,-9358,-10040,-280,2926,3606
-6990,-8952,-10724,1406,1070,1988
-7116,-8374,-11148,1378,-804,108
-6980,-8302,-11264,1008,-2400,178
-7026,-8414,-11340,750,-1974,-128
-7216,-8784,-11548,802,-616,-732
-7654,-8606,-11548,460,-56,-458
-7828,-8920,-11274,18,-484,22
-7752,-9096,-11138,180,-980,-154
-8130,-9116,-11214,522,-1288,-596
-8104,-8696,-11484,262,-1798,56
-8084,-8402,-11188,-448,-2082,166
-8138,-8322,-11596,-958,-3700,1226
-8364,-8660,-12218,-1532,-3256,1344
-8570,-9328,-11472,-1458,-1956,-320
-8350,-9534,-10582,-190,-956,-542
-8702,-9760,-10348,1602,-124,-612
-8752,-9808,-10140,2512,-1278,50
-8352,-9900,-10298,2630,-1342,322
-8778,-8508,-13120,382,-912,1428
-8124,-12902,-18592,-204,4898,-774
-8222,-12038,-12036,-2622,12028,-4832
-8450,-10326,-10026,-1112,10040,-2706
-7498,-9246,-9480,1016,5226,-768
-6342,-8728,-10016,3042,1308,-596
-6296,-7780,-10230,2466,-1900,-1214
-6442,-7590,-9888,1776,-5228,-2112
