ax,ay,az,gx,gy,gz
-15700,-606,4904,40,-14,24
-15708,-648,4864,36,-60,12
-15718,-640,4772,40,-64,-4
-15724,-576,4870,44,-100,0
-15796,-618,4894,30,-166,-8
-15834,-620,4798,38,-96,-24
-15706,-628,4828,32,-14,12
-15638,-660,4928,18,-80,40
-15732,-686,4940,6,-164,24
-15834,-614,4864,0,-144,-12
-15812,-606,4882,-2,-12,6
-15722,-604,4886,4,86,36
-15708,-652,4994,28,60,54
-15718,-672,4906,16,-54,46
-15728,-650,4832,-12,-60,42
-15666,-656,4882,-24,-10,30
-15632,-648,4954,-44,-74,10
-15690,-680,4942,-48,-178,-2
-15782,-686,4898,-54,-196,6
-15810,-672,4878,-86,-94,24
-15768,-604,4928,-88,-34,14
-15688,-636,4944,-70,-16,6
-15686,-614,4944,-50,-44,4
-15720,-604,4926,-30,-76,20
-15758,-604,4864,-54,-78,28
-15758,-614,4862,-40,-74,24
-15718,-632,4908,-36,-52,0
-15702,-606,4886,-12,-82,12
-15714,-618,4854,-22,-100,16
-15760,-666,4888,-38,-88,18
-15748,-688,4884,-62,-72,26
-15774,-632,4886,-44,-34,12
-15706,-584,4876,-52,-50,16
-15696,-622,4872,-62,-44,30
-15754,-670,4882,-42,-62,30
-15854,-686,4904,-50,-24,44
-15842,-628,4866,-82,64,56
-15806,-638,4804,-70,152,72
-15800,-704,4912,-32,210,88
-15820,-744,4940,-50,264,96
-15872,-874,5050,-356,394,168
-15956,-1494,5152,-1156,686,412
-15850,-1956,5100,-1680,846,500
-15510,-1708,4772,-2058,690,394
-15336,-608,4632,-2084,472,274
-15412,568,4922,-1734,194,154
-15626,914,4976,-1182,-120,72
-15790,870,4932,-480,-174,84
-15888,430,4976,534,-18,106
-15838,236,4960,1222,10,94
