ax,ay,az,gx,gy,gz
15150,8688,-14068,7348,15024,-1432
16410,7486,-13226,6492,12528,2928
17078,6586,-12570,5258,8610,3952
16460,6410,-12086,5242,3912,1128
15680,6946,-12008,6866,2186,-1938
14564,7110,-11190,6466,-338,-1456
13550,6674,-11002,7158,-1324,1020
11700,4112,-11214,6834,-1174,2272
12966,3198,-11096,7626,528,-550
11844,1074,-10118,7340,1190,-3722
13648,2320,-11062,9274,1938,-8838
11786,3182,-8932,9878,-526,-11234
13168,3888,-8286,10598,-3792,-13322
14360,492,-8308,14132,-6908,-19174
14714,-890,-8902,15618,-9156,-26976
13972,2224,-9426,16592,-13160,-32524
11860,5692,-10972,17572,-14772,-29912
10764,5418,-13746,16924,-12676,-23044
9752,5764,-14554,15286,-8866,-17626
12400,5666,-15186,12856,-5178,-8854
6572,4010,-18442,8944,-4956,-3168
1994,6980,-19706,2204,1240,7770
4118,4136,-12812,4108,2782,13770
7200,2566,-14474,8948,3576,13952
8980,810,-13186,13688,6034,11452
10004,3556,-10808,10554,8020,15406
7354,3076,-12238,10280,10316,25606
6534,-596,-12738,15312,6942,19474
8872,-2196,-14136,18708,9904,18974
8626,-5020,-11126,11366,19710,15290
9314,-4964,-11614,6040,24392,17014
11310,-5232,-10518,5502,26158,20908
11448,-5284,-9818,4822,28394,20022
10804,-3790,-7296,3502,21298,16860
10692,-5332,-8346,2616,8212,13140
13816,-6020,-7930,3194,7818,10222
14214,-6668,-5960,830,8088,6266
12428,-5886,-7050,-822,3646,6430
11430,-5844,-8588,-1074,3184,8696
10446,-6532,-8946,934,5082,9450
11434,-7544,-8012,2546,6836,7592
11994,-7970,-6796,3664,7746,4050
13054,-9292,-5842,3824,6704,1632
12608,-9150,-5172,-120,2196,-8300
11672,-8232,-6240,-650,1312,-4516
12964,-8864,-5908,-2098,1278,-2810
12650,-8468,-5416,-3238,4858,1158
14074,-8152,-5506,-3652,4126,3312
12856,-8074,-6148,-2084,4734,892
11824,-8156,-6168,-2514,5612,226
