ax,ay,az,gx,gy,gz
-15552,1320,5608,-1402,468,462
-15572,1040,4920,-1180,48,440
-15888,1032,4692,-950,56,470
-15840,452,4498,-658,538,294
-15898,168,4668,-568,590,42
-16022,-30,4426,-528,480,-250
-15990,184,4432,-730,866,-158
-15972,-52,4466,-1006,942,-2
-15694,-168,4620,-1416,824,116
-15614,62,4444,-1356,404,202
-15626,624,4316,-1340,178,552
-15630,910,4582,-1078,240,616
-15638,834,4918,-716,50,528
-15716,1216,5116,-166,-396,82
-15380,2920,5074,716,-988,58
-15830,1892,4746,1790,-1672,576
-16242,2036,4412,1938,-2244,442
-16222,1220,3768,1946,-2058,280
-15774,254,4304,1644,-274,26
-14946,-1230,4690,1018,72,-452
-14248,-718,4918,308,-642,-1434
-14778,978,5930,378,-982,-1640
-16120,1810,5912,942,-1860,-1070
-17106,1590,4354,1042,-2070,-120
-17728,338,3448,1436,-554,382
-16816,-618,4488,1552,1340,68
-15684,-1406,5230,1142,1264,-304
-14798,-1068,5276,224,452,-156
-14880,-350,5098,-322,152,-224
-15400,424,5092,-488,-72,66
-15754,416,4778,-672,-238,138
-16126,428,4318,-808,-218,204
-16414,156,4172,-666,290,300
-16014,-244,4512,-552,748,272
-15570,-110,5050,-798,758,124
-15536,246,5054,-1016,406,108
-15692,806,4984,-960,54,120
-15800,1118,4908,-798,-24,150
-15890,1164,4788,-544,52,186
-15926,872,4754,-242,332,298
-15828,450,4768,-94,534,228
-15666,276,4784,2,584,110
-15638,482,4892,-34,444,26
-15588,498,4978,-50,218,12
-15656,500,4996,0,110,-2
-15724,598,4934,-10,114,-10
-15766,598,4826,-24,152,-38
-15772,566,4812,-74,192,-52
-15736,478,4764,-124,220,-70
-15712,420,4786,-180,196,-72
