ax,ay,az,gx,gy,gz
-16134,-630,1504,984,-216,708
-15896,-620,1488,612,-348,642
-16226,-554,1116,90,-406,450
-16514,-264,984,-288,-170,318
-16598,24,1044,-568,52,260
-16520,282,1070,-628,168,248
-16380,362,1294,-536,-38,222
-16330,314,1306,-250,-380,204
-16442,156,1208,-84,-420,210
-16490,70,990,12,-344,166
-16372,130,858,-24,-56,80
-16136,388,822,-104,148,-98
-16048,654,920,-38,392,-510
-16076,576,1324,-6,530,-914
-16240,334,1316,276,562,-1248
-16494,118,1648,616,458,-1302
-16742,-342,1928,1056,182,-1046
-17134,-994,2346,1620,-260,-250
-16998,-1060,1962,1580,-744,506
-16508,-1250,1638,1158,-888,1032
-16134,-1276,1252,476,-846,1068
-16088,-706,754,-428,-578,950
-16244,-114,670,-942,-302,718
-16342,668,630,-1232,-58,436
-16288,1486,746,-1134,106,100
-16250,1902,1000,-652,136,-160
-16184,1914,1294,274,140,-628
-16306,1568,1212,1002,320,-1022
-16508,678,1392,1652,664,-1316
-16412,-600,1650,1834,742,-1334
-16602,-2562,2844,1892,578,-802
-17292,-1230,1752,1944,-972,226
-17376,-716,1132,1330,-878,1230
-15824,-1732,2206,320,-224,1216
-15010,-2024,1774,-1016,-502,658
-15332,-1062,1384,-1818,-972,212
-16796,150,664,-2310,-692,-136
-17394,1074,690,-2384,-68,-8
-17022,1690,928,-2038,262,384
-16584,1832,1412,-1596,368,536
-15888,1464,1494,-614,238,76
-16066,1008,1166,18,300,-354
-16554,738,992,468,650,-576
-16728,94,1276,614,1098,-512
-16406,-1108,2144,484,1134,-316
-16330,-1960,2360,414,196,122
-16834,-830,1572,282,-456,582
-16260,-722,1896,-250,-2,842
-15522,-1032,2302,-710,-44,394
-15518,-954,1696,-1230,-372,54
