ax,ay,az,gx,gy,gz
-16020,700,3706,8,0,28
-15978,656,3784,-24,-32,24
-16008,634,3786,-98,-98,34
-16038,652,3724,-102,-116,18
-16098,740,3752,-120,-110,-18
-16072,748,3776,-128,-76,-2
-16008,702,3842,-140,-82,6
-15974,682,3824,-138,-120,10
-16028,810,3768,-110,-148,-18
-16084,850,3698,-22,-54,-88
-16036,798,3786,8,14,-74
-15956,642,3878,-10,26,-8
-16010,612,3874,-18,-64,14
-16104,696,3808,16,-120,-30
-16166,788,3724,98,0,-86
-16018,774,3746,138,150,-64
-15830,670,3908,130,116,-20
-15884,616,3872,98,-66,-30
-16022,662,3718,116,-158,-62
-16124,734,3654,150,-84,-110
-16042,708,3706,158,-20,-72
-15960,534,3788,104,-142,-36
-16030,528,3774,54,-232,-14
-16154,646,3744,44,-172,-22
-16102,700,3704,58,-66,-28
-15982,658,3752,66,28,-28
-15954,600,3904,66,4,-12
-16038,550,3872,48,-38,0
-16144,608,3786,72,-46,-24
-16080,676,3802,104,-20,-32
-15974,608,3846,124,12,-2
-15910,546,3842,100,-28,2
-15962,574,3824,126,-82,-14
-16112,646,3742,154,-70,-66
-16122,636,3698,156,36,-72
-16002,546,3796,156,108,-64
-15988,476,3854,116,52,-56
-16076,512,3746,114,-26,-56
-16106,592,3666,124,24,-78
-16018,646,3738,126,76,-66
-15914,572,3900,102,52,-28
-15986,546,3816,110,-36,-6
-16136,584,3756,72,18,-12
-16126,614,3746,72,98,-14
-16030,540,3764,62,132,8
-15890,466,3876,-18,26,114
-15908,398,3944,-142,-142,190
-16094,388,3976,-278,-296,190
-16176,434,3792,-402,-316,128
-16040,522,3638,-460,-98,104
