ax,ay,az,gx,gy,gz
-16192,-2096,2168,1374,-316,-146
-16368,-2526,2014,906,-792,-98
-16342,-2978,1686,-98,-876,114
-16002,-2658,1974,-1104,-426,72
-15908,-1468,2656,-2046,78,-368
-16266,-470,2866,-2456,196,-772
-16698,460,2678,-2320,224,-870
-16748,766,2594,-1750,212,-674
-16648,758,2862,-966,230,-350
-16712,810,3024,48,-90,84
-16622,778,2882,740,-190,304
-16344,410,2794,1454,16,358
-16188,100,2794,1938,208,218
-16036,-374,2894,2244,278,28
-16134,-722,2916,2300,182,-122
-16322,-1336,2634,2250,34,-162
-16516,-1810,2418,1508,-144,18
-15964,-1906,2206,1210,100,76
-15340,-1474,2882,1160,532,-490
-16080,-966,2908,1378,-118,-696
-16904,-1156,2330,1266,-552,-386
-16978,-1278,2034,830,-414,240
-16434,-1254,2394,448,44,418
-16006,-752,2812,732,302,226
-15996,-1096,2678,802,176,82
-16224,-874,2604,652,44,38
-16184,-1008,2590,680,430,-126
-16340,-1246,2746,706,692,-300
-16108,-1890,2418,406,918,-280
-16150,-1426,2618,-60,934,-402
-16344,-962,2668,-178,1046,-332
-16256,-1298,2652,-218,1100,-210
-16172,-1514,2814,-580,866,-266
-16568,-1338,2862,-856,180,-18
-16684,-792,2754,-1006,12,320
-16236,-922,2862,-974,24,562
-16108,-918,2992,-858,-186,588
-16100,-838,2860,-776,-112,478
-16146,-714,2864,-710,18,320
-16288,-828,2630,-528,112,222
-16058,-826,2792,-488,252,90
-16090,-932,2530,-512,176,2
-16176,-844,2444,-418,164,-100
-16228,-988,2366,-372,-88,-54
-16320,-976,2244,-402,-354,86
-16328,-986,2284,-444,-472,172
-16256,-1004,2368,-564,-450,136
-16168,-1226,2186,-612,-548,118
-16176,-1200,1958,-718,-542,92
-16486,-1012,1866,-808,-474,104
