ax,ay,az,gx,gy,gz
-10676,1452,-12294,220,-450,822
-10248,1994,-12122,344,-238,256
-10926,2326,-12308,372,-110,-196
-11360,2412,-12622,408,164,-276
-11546,2224,-12558,-2,222,-440
-11182,2248,-12760,-174,-80,-632
-11052,2536,-12612,-156,-326,-834
-11046,2992,-11856,-116,-454,-722
-11400,3302,-11776,-126,-652,-332
-12492,2606,-12382,-192,-964,530
-12982,2350,-12208,-122,-790,902
-12740,2252,-12314,-196,-186,1034
-12410,2090,-12406,-456,70,1068
-12320,1828,-12472,-746,250,964
-12402,1658,-12460,-1172,620,908
-12296,1602,-12490,-1370,876,874
-12218,1976,-12668,-1634,1312,668
-11868,2454,-12678,-1606,1646,666
-11586,2832,-12826,-1556,1944,758
-11816,3020,-12976,-1720,2344,1092
-11958,2678,-12892,-2066,3054,1404
-11174,2604,-12572,-2268,3616,1406
-10518,2400,-12162,-2886,3072,1222
-11040,3230,-12324,-3178,2532,780
-11960,3972,-12136,-3096,3494,314
-12142,5204,-12156,-2734,4362,-174
-12284,6864,-12132,-1816,5594,-270
-11066,6878,-11868,-1004,6634,234
-9056,6554,-12682,248,6212,1206
-9108,5994,-14910,1534,6292,1462
-7684,3206,-12516,1986,6592,692
-8162,2888,-13932,2030,5416,148
-9212,2746,-14722,2456,5266,200
-10068,3048,-14818,2686,5786,-568
-8872,2944,-13968,2500,5858,-1326
-7236,3404,-13400,2708,5550,-1892
-6500,2956,-13494,3382,6010,-1448
-6176,2976,-13618,4150,6066,-1588
-6170,3400,-13704,4724,6312,-1380
-6160,2340,-13536,5216,6266,-1250
-4792,960,-13294,4980,5748,-878
-3600,56,-12822,5220,4278,-552
-3680,-1176,-11978,5038,2148,-510
-3890,-286,-11628,4158,768,174
-4100,-1222,-11250,3142,-1070,1484
-5712,-2182,-10356,1826,-4360,1848
-6464,-1562,-10594,722,-6878,2008
-6708,654,-10810,-6,-7848,4418
-5678,-1780,-14308,18,-8330,3122
-4236,-3900,-13568,-284,-4606,2188
