ax,ay,az,gx,gy,gz
-574,-11790,-10968,294,-62,-16
-450,-12024,-10906,290,60,74
-232,-12164,-10926,312,-22,54
-280,-12190,-10866,402,-78,24
-326,-12338,-10756,374,-120,-4
-438,-12338,-10824,396,-86,16
-438,-12392,-10760,366,-14,30
-358,-12452,-10594,216,34,-4
-322,-12552,-10592,70,-32,-8
-408,-12484,-10720,-36,-32,18
-370,-12392,-10724,-90,26,46
-268,-12308,-10732,-140,-30,28
-388,-12322,-10732,-146,-132,6
-570,-12360,-10856,-222,-54,12
-462,-12204,-10832,-220,32,6
-398,-12158,-10804,-178,18,0
-348,-12192,-10762,-216,-26,-24
-372,-12266,-10800,-210,-100,-54
-438,-12196,-10988,-152,-70,-96
-486,-12090,-10996,-40,12,-68
-456,-12060,-10828,-26,102,-42
-316,-12084,-10802,-18,78,-36
-360,-12042,-10932,-14,-12,-54
-436,-11994,-11036,66,-48,-102
-390,-12180,-10854,112,-10,-134
-314,-12280,-10832,196,-60,-168
-298,-12382,-10790,176,-46,-124
-282,-12246,-10714,30,-8,-72
-208,-12170,-10824,-40,-36,-20
-226,-12240,-10794,28,-50,4
-192,-12312,-10766,14,-82,-14
-206,-12240,-10808,-38,-140,28
-286,-12122,-10956,14,-202,76
-440,-12170,-10936,70,-176,80
-608,-12176,-10852,110,-102,8
-572,-12136,-10906,146,14,6
-500,-12092,-10906,132,132,62
-206,-12168,-10704,108,98,114
-222,-12398,-10676,144,-86,64
-376,-12542,-10676,18,-224,-76
-470,-12494,-10774,-18,-222,-76
-418,-12250,-10788,-168,-12,-34
-344,-12134,-10724,-200,4,38
-282,-12248,-10700,-164,-62,68
-242,-12312,-10708,-250,-70,124
-238,-12400,-10762,-230,-114,158
-484,-12588,-10764,-274,-88,200
-610,-12660,-10684,-452,-32,108
-488,-12540,-10784,-624,24,32
-300,-12266,-10728,-776,24,20
