ax,ay,az,gx,gy,gz
-9630,-12980,-5620,256,192,-24
-9286,-12844,-4990,38,208,-114
-9210,-12246,-4920,-82,0,-80
-9364,-12046,-5232,-126,-12,70
-9440,-12404,-5392,-152,158,178
-9362,-12572,-5276,-118,244,172
-9374,-12350,-5116,-54,98,64
-9410,-12186,-5220,12,54,54
-9328,-12256,-5210,32,140,84
-9324,-12374,-5088,116,130,88
-9358,-12460,-5016,182,18,22
-9394,-12390,-5164,238,-26,-24
-9340,-12392,-5206,232,16,-4
-9260,-12318,-5118,270,32,-4
-9248,-12428,-5024,278,-22,-12
-9370,-12504,-5112,208,-68,-30
-9482,-12440,-5176,166,-28,-2
-9378,-12546,-5194,152,6,54
-9332,-12546,-5156,110,24,68
-9360,-12514,-5098,72,-32,42
-9388,-12416,-5170,74,-26,4
-9312,-12466,-5194,72,54,40
-9230,-12550,-5148,76,0,40
-9354,-12410,-5076,104,-90,2
-9586,-12224,-5054,144,-64,-18
-9502,-12352,-5122,182,-42,6
-9412,-12488,-5160,132,46,6
-9364,-12472,-5046,94,86,-10
-9314,-12534,-5078,132,56,-12
-9252,-12624,-5154,12,-2,6
-9314,-12558,-5146,-24,-12,16
-9356,-12556,-5196,-98,20,26
-9210,-12530,-5104,-208,34,32
-9218,-12422,-5020,-194,-42,16
-9398,-12298,-4982,-136,-144,46
-9426,-12360,-5090,-120,-120,64
-9362,-12340,-5072,-92,-78,42
-9304,-12330,-5076,-30,-84,26
-9332,-12432,-5060,-26,-160,20
-9416,-12548,-5152,-80,-170,-6
-9410,-12548,-5148,-62,-150,-12
-9392,-12360,-5052,-38,-168,-8
-9466,-12384,-5080,-56,-186,4
-9490,-12514,-5222,-122,-152,-6
-9368,-12472,-5166,-102,-138,-26
-9336,-12390,-5102,-90,-150,-10
-9340,-12392,-5142,-62,-202,-24
-9380,-12346,-5140,-42,-172,-22
-9416,-12310,-5144,0,-160,-12
-9416,-12390,-5172,46,-162,-16
