ax,ay,az,gx,gy,gz
-15882,566,4492,296,78,-44
-15926,664,4366,300,42,-4
-15912,634,4338,294,90,30
-15824,634,4390,304,108,26
-15790,586,4408,296,2,28
-15798,604,4294,212,-182,-2
-15836,678,4248,208,-172,-18
-15832,720,4388,234,-126,-56
-15822,752,4490,264,-182,-68
-15880,678,4342,276,-234,-52
-15902,688,4294,322,-216,-26
-15936,678,4396,344,-110,-20
-15876,586,4478,344,-156,28
-15854,542,4458,348,-148,-44
-15824,668,4488,356,-166,-86
-15808,706,4384,388,-192,-106
-15920,714,4378,380,-172,-116
-15960,440,4510,384,-138,-130
-15880,566,4414,358,-74,-142
-15914,598,4420,286,-24,-62
-15922,640,4462,276,-8,-38
-15850,588,4428,240,4,-32
-15790,520,4434,156,-54,-28
-15766,630,4364,134,-126,-86
-15850,686,4422,162,-120,-82
-15868,698,4484,170,-160,-88
-15844,716,4406,186,-248,-90
-15856,678,4432,248,-254,-50
-15940,642,4486,334,-224,-26
-15968,594,4442,344,-144,16
-15944,562,4438,386,-76,38
-15926,480,4410,314,26,94
-15980,336,4390,238,98,136
-16030,346,4256,94,282,96
-16056,456,4016,106,412,58
-16202,596,3950,-32,674,-44
-16392,584,4078,-138,868,-66
-16434,472,4034,-284,1020,-82
-16308,322,3982,-576,1158,-90
-16002,338,3912,-728,1350,52
-15570,698,3818,-982,1470,306
-15618,814,3812,-876,1288,562
-15970,850,3748,-772,1118,752
-16226,292,3968,-830,1306,828
-15916,308,3566,-858,1362,794
-15974,50,3276,-718,1592,792
-16070,-110,3370,-854,1540,636
-16104,-156,3574,-1138,1698,582
-15998,-70,3578,-1258,1800,562
-16102,-16,3770,-1262,1910,476
