ax,ay,az,gx,gy,gz
-16240,-750,2280,-1458,-118,242
-16184,-446,2246,-1466,-146,186
-16388,-122,2224,-1282,-108,116
-16574,228,2212,-1010,108,44
-16500,294,2312,-582,416,94
-16352,224,2382,-192,450,128
-16420,338,2232,372,444,72
-16348,364,2132,806,562,56
-16236,354,2278,1260,562,42
-16226,348,2362,1540,422,-24
-16364,278,2322,1810,276,-74
-16490,134,2292,2064,326,-72
-16320,100,2284,2202,450,-74
-16180,126,2480,2320,542,-162
-16126,-36,2650,2274,508,-182
-16098,-326,2650,2120,288,-170
-16186,-710,2464,1904,-102,-120
-16272,-906,2464,1592,-314,20
-16318,-1098,2472,1038,-446,176
-16370,-1094,2524,572,-450,232
-16304,-922,2402,174,-334,134
-16250,-520,2522,10,-208,-4
-16224,-268,2528,-40,-124,-132
-16252,92,2512,118,-40,-246
-16312,244,2508,284,-18,-268
-16186,26,2332,538,-206,-188
-16244,-196,2286,686,-414,-124
-16384,-354,2172,702,-518,-16
-16424,-408,2132,630,-406,34
-16242,-488,2348,434,-364,64
-16188,-806,2330,76,-474,82
-16262,-1008,2254,-294,-414,118
-16404,-1076,2496,-808,-326,92
-16472,-950,2582,-1084,-280,148
-16302,-782,2804,-1494,12,184
-16154,-672,3020,-1756,30,100
-16188,-502,2972,-1848,-142,-46
-16098,-320,2812,-1950,-174,-78
-16052,-92,2658,-1908,-222,-60
-16180,106,2478,-1834,-364,-44
-16286,122,2558,-1730,-462,-28
-16340,4,2528,-1514,-554,-48
-16328,-146,2272,-1018,-468,62
-16476,-60,2384,-674,-330,42
-16760,58,2542,-176,-212,46
-16716,166,2508,160,90,114
-16180,134,2586,428,434,112
-15972,54,2680,658,370,28
-16122,-56,2628,846,222,-88
-16198,-146,2482,1124,162,-142
