ax,ay,az,gx,gy,gz
-16120,512,5036,-120,-1104,-136
-16450,888,4500,-178,-868,20
-16188,1056,4340,156,-40,148
-15878,890,4456,444,426,200
-15588,416,4660,622,566,174
-15428,46,4732,572,280,96
-15626,146,4774,340,42,4
-16282,338,4526,0,-66,-160
-16264,552,4362,-76,222,-110
-15756,620,4406,72,530,120
-15642,332,4648,142,600,158
-15704,192,4850,50,428,26
-15724,312,4902,24,164,46
-15678,694,5112,104,32,278
-15692,538,5380,268,-16,376
-15668,426,5350,442,-28,242
-15798,630,5196,466,-36,72
-15946,628,4854,448,-50,40
-15780,996,4544,434,136,68
-15462,790,4628,560,326,150
-15370,352,4922,466,34,14
-15448,698,4780,-6,-652,-68
-15624,688,4706,-316,-834,84
-15798,686,4856,-700,-658,92
-15804,704,4934,-960,-382,44
-15794,884,5032,-970,-260,36
-15624,1266,4928,-740,-152,-280
-15492,1446,4784,-604,-12,-480
-15496,1108,4758,-420,58,-658
-15600,740,4758,-262,-96,-848
-15724,894,4382,-140,-368,-1072
-16324,282,4666,18,-320,-872
-16874,538,4840,398,-634,-280
-16734,550,4080,596,-476,426
-15848,376,3958,740,212,372
-14918,-30,4902,730,320,-88
-14590,-196,5364,862,-192,-504
-15002,150,5300,990,-660,-744
-16174,1006,4564,1208,-942,-542
-16926,830,4042,1276,-674,-96
-16918,74,3792,972,58,458
-16262,-350,4016,614,398,608
-15268,-144,4272,78,372,248
-14980,258,4704,-312,266,-102
-15358,506,4996,-520,-138,-258
-15980,546,5042,-454,-308,-222
-15980,712,5060,-322,-28,-150
-15632,1066,5152,-184,-36,-10
-15594,1106,5016,0,-218,94
-15676,972,4824,212,-194,148
