ax,ay,az,gx,gy,gz
-14298,-2954,712,-138,-5910,-414
-12634,-3172,3300,10,-5972,-782
-11934,-4736,3514,508,-8954,286
-12552,-6716,898,38,-11068,788
-14070,-5844,-1268,1112,-10274,-652
-14098,-1774,488,1998,-7072,-928
-12324,1244,3232,2722,-5510,-396
-8192,2482,4266,4976,-5402,98
-6758,2392,3026,7466,-6272,-352
-7560,2128,684,10016,-6740,-18
-8712,478,-718,11040,-5760,876
-8440,-1348,-1688,10228,-2748,1968
-6482,-1272,460,9846,1436,2118
-5774,-388,4418,10114,2684,2930
-7220,170,8666,11670,-428,4022
-9672,-2478,8676,12202,-4594,5398
-15530,-6034,6644,11640,-5316,2806
-20358,-5606,3992,11344,-2670,-894
-21254,-3444,5296,7870,-1262,-2602
-20530,-1894,8832,6390,-384,-2952
-23654,430,11540,7266,-304,-4124
-20866,6940,7576,8788,500,-4304
-15556,5200,4834,10448,910,-1942
-11914,856,4276,9994,446,68
-11314,-1470,6084,9430,-24,484
-11550,-3370,7894,9046,-1690,-342
-13578,-2920,9534,7242,-4436,-2864
-17114,-442,7396,6178,-6736,-5012
-21530,3488,2454,5140,-3782,-5296
-20810,4776,1116,5112,1736,-2322
-17026,2654,3016,6914,5890,-522
-14272,1452,5508,6730,6246,-678
-12380,-456,6804,6214,3294,-1962
-11932,-788,6394,4070,-860,-2542
-13946,-1160,6576,2904,-2736,-2154
-16576,-510,6314,1904,-2516,-2972
-17822,532,6656,2002,-1282,-2640
-17990,-292,6546,3204,294,-2304
-16900,-1602,6220,3328,2030,-1434
-15392,-1698,6824,3338,2498,-1120
-14102,-494,7704,3578,2710,-344
-13236,-1354,7454,2974,1226,596
-14124,-4568,5862,1348,-820,166
-15064,-3394,4902,-496,-1422,-358
-15370,-2008,4676,-914,-1062,-454
-15914,-124,5668,-854,-372,-680
-15926,-494,5622,128,-650,-328
-16154,-380,5662,738,-298,-884
-15906,-652,4916,644,126,-966
-15638,-1088,5560,592,406,-884
