ax,ay,az,gx,gy,gz
-2154,-15814,-3788,88,-18,44
-2198,-15792,-3828,102,28,10
-2170,-15806,-3786,80,46,18
-2106,-15836,-3756,72,0,38
-2180,-15844,-3768,32,-18,36
-2182,-15808,-3794,56,-16,28
-2140,-15800,-3794,6,-16,12
-2166,-15832,-3794,-12,-48,-20
-2158,-15820,-3800,-8,-10,-2
-2122,-15816,-3790,16,20,38
-2106,-15760,-3810,44,10,40
-2158,-15754,-3810,50,-40,16
-2230,-15738,-3858,38,-16,34
-2148,-15792,-3810,48,24,52
-2126,-15782,-3814,88,16,58
-2162,-15810,-3790,86,0,32
-2218,-15768,-3832,104,-18,42
-2184,-15766,-3818,102,-10,32
-2224,-15836,-3778,60,24,36
-2118,-15852,-3716,16,14,80
-2110,-15804,-3802,58,-4,36
-2186,-15736,-3858,96,-8,34
-2280,-15720,-3840,128,20,6
-2182,-15806,-3766,68,18,-6
-2092,-15822,-3748,80,-38,-6
-2072,-15820,-3782,108,20,24
-2136,-15806,-3760,114,56,18
-2142,-15818,-3708,86,2,50
-2146,-15812,-3742,88,-8,38
-2170,-15822,-3730,66,14,54
-2224,-15866,-3714,38,8,40
-2196,-15866,-3722,0,0,44
-2206,-15856,-3754,-18,36,56
-2178,-15742,-3814,2,28,42
-2188,-15712,-3814,14,-10,14
-2160,-15758,-3796,-4,-42,30
-2140,-15836,-3742,-4,-44,26
-2158,-15908,-3778,8,-18,40
-2198,-15802,-3780,42,-12,22
-2172,-15766,-3794,54,0,34
-2118,-15782,-3810,54,0,54
-2192,-15792,-3788,62,6,64
-2188,-15794,-3732,60,12,66
-2174,-15812,-3788,78,-4,36
-2190,-15774,-3790,88,-2,18
-2190,-15776,-3804,96,-26,-6
-2226,-15816,-3754,58,-24,4
-2212,-15812,-3738,70,-6,10
-2174,-15818,-3724,20,-14,12
-2180,-15800,-3790,48,-58,8
