ax,ay,az,gx,gy,gz
-15858,-1292,4000,-1012,110,394
-15186,-990,5258,-850,1680,-306
-14632,-1028,6328,-848,2342,-536
-14226,-1280,6956,-1130,2300,-380
-13880,-974,7100,-1284,1644,-102
-13826,-920,6548,-1250,458,192
-14178,-532,5638,-1016,-144,584
-14998,-360,4652,-466,100,830
-16374,-576,4242,414,938,748
-17570,-592,4322,988,1422,-6
-18460,-436,4450,1460,1764,-1072
-18498,-224,4104,1624,2398,-1708
-17270,-1024,4088,1222,3114,-2226
-15658,-1828,4182,676,3088,-2556
-14286,-2280,4114,174,2502,-2746
-13714,-2206,3934,-28,1424,-2960
-14078,-1432,3688,-302,852,-2562
-15076,-1012,3294,-144,1188,-1730
-15398,-440,3284,-246,1662,-682
-15484,-128,3290,156,1806,48
-15566,-118,3182,714,1688,168
-15550,196,3272,1298,1508,164
-15538,474,3308,2006,932,122
-15610,474,3126,2498,14,164
-15946,244,2612,3040,-990,82
-16294,2,2252,3530,-1136,-2
-16504,-502,2192,3882,-844,-80
-16508,-926,2442,3988,-486,16
-16378,-872,2280,4080,-96,60
-15896,-122,2212,4054,162,626
-15908,46,2044,4184,414,780
-15970,736,1096,4812,406,712
-16186,1102,382,5128,658,838
-16310,1420,434,5340,872,1064
-16114,1086,530,5722,910,1584
-16922,-100,2376,6060,1020,1482
-17966,-1082,3112,5566,282,824
-18366,-2188,4008,4466,-262,-72
-18840,-3458,4692,2418,-582,-1256
-18586,-3798,3974,1336,-934,-2894
-17644,-1952,3400,800,-1046,-4180
-15414,326,2786,1228,-1124,-3622
-14976,538,2456,2450,-618,-2718
-15270,-378,3786,2760,360,-1408
-15160,-936,5118,2462,146,-1172
-14716,-1898,5276,2246,-738,-1674
-14404,-280,5242,2102,-966,-2112
-14932,-298,5612,2562,-922,-1986
-15782,-322,5950,2752,-96,-2188
-15788,-792,6254,2238,308,-1584
