ax,ay,az,gx,gy,gz
-3516,-2572,5908,-5830,2124,-16322
-36,-3640,1942,-13678,-2778,-16548
2428,-3948,1142,-16038,-7464,-9996
-2448,-23028,10598,-10230,-22,-1462
-1062,-28086,13158,-13930,-988,-7938
3014,-18850,9640,-22574,934,2198
-4134,-23830,13818,-22152,120,7222
-3888,-22196,5498,-25970,170,4026
-5834,-20534,-352,-28702,-628,4478
-8764,-16204,4036,-28972,2152,4556
-6644,-9060,7514,-21174,-1540,4324
-9558,-5782,7526,-16322,3514,7918
-13384,-32766,730,-7116,12164,10818
-3736,-32766,2744,-14560,20800,7626
-2624,-32766,15228,-24094,19042,-794
-21666,-32766,10680,-7300,13008,-3536
-12582,-32766,18288,72,9586,-18070
4518,-530,11684,-13354,-7486,-17408
2744,2500,1450,776,-11940,-5248
-6336,-14056,-6886,6406,-13894,916
-13482,-21638,-11536,-8142,-4648,-940
-9640,-14508,-10184,-11190,1604,-2224
-2426,-17802,-4226,-9252,7018,-1134
-1470,-17210,-1382,-9202,6254,-2154
-3196,-13946,-2320,-6868,2062,628
-5260,-14398,-3048,-3696,1486,384
-4862,-12664,-5300,-4140,2528,-332
-4340,-14818,-3100,-4602,3538,1704
-5406,-15806,-3502,-3554,2952,1040
-6832,-15856,-4912,-5720,2608,-360
-6604,-15248,-6578,-8282,2956,-996
-8900,-16540,-4888,-9044,4458,-842
-7718,-14658,-5552,-10104,5098,-1952
-6330,-13484,-6088,-10362,4714,-2154
-6568,-13826,-5472,-10338,4384,-1398
-6544,-12862,-4566,-9620,3656,-772
-6216,-10490,-5472,-7408,1686,-1272
-6454,-10658,-7334,-6114,1736,-1918
-6516,-9854,-8620,-4948,4284,-1892
-4988,-11094,-7724,-4088,5964,-504
-3806,-15592,-8008,-2804,5762,-158
-2472,-17678,-9844,-3494,3826,-1098
-2554,-14908,-9372,-4908,3430,384
-1658,-13486,-9694,-2450,2136,3206
-282,-11230,-9834,-1220,1974,3106
-58,-9552,-8636,-1154,3042,2070
-664,-11426,-7346,-810,3416,832
-1496,-12794,-8126,-634,1568,552
-2180,-12342,-11578,-74,-638,1668
-2932,-12440,-11976,960,774,2870
