ax,ay,az,gx,gy,gz
-15028,2992,4312,778,-1548,712
-16200,2500,4690,582,-1726,202
-17884,1834,4884,338,-1298,8
-17926,2100,3240,-126,-208,274
-16920,2252,2636,-740,1286,992
-15642,2240,2660,-1092,2100,884
-14776,1706,3552,-1298,2970,34
-14780,-16,4900,-1604,2888,-1224
-15094,430,5544,-1474,1828,-1572
-16060,1778,5870,-736,198,-872
-16562,734,6068,-106,192,-384
-16376,-368,6744,-38,792,-694
-15114,-720,6224,-466,-92,-788
-13840,-958,4982,-708,-684,-760
-13910,-696,5442,-476,-868,-1058
-15138,-832,5624,-136,-1342,-1394
-16780,-708,4798,-308,-1262,-1110
-17048,-1146,4162,-1012,-202,-878
-16214,-1400,4458,-1758,386,-804
-15624,-992,4650,-2034,-1004,-1042
-15584,-680,3776,-2804,-2008,-740
-16214,-678,2784,-2838,-1956,-550
-16570,-538,1994,-2156,-1384,-550
-16888,-192,1538,-958,-146,-610
-17070,148,1598,68,886,-76
-16612,218,1792,892,1522,952
-15250,268,2764,1566,1994,2210
-14234,482,3338,1986,1406,3014
-14572,82,4578,2456,674,3838
-15542,-1044,5510,2734,-180,3930
-16606,-2324,6644,2308,-1276,2948
-17152,-2690,6926,1208,-2326,1474
-17400,-2058,5482,-142,-2898,190
-16812,-144,3412,-524,-1432,-278
-15890,724,3830,-228,148,-392
-14436,110,4562,-178,810,-290
-13698,-98,5526,-202,410,288
-14078,-1060,7504,-572,-586,1000
-15330,-1132,7868,-928,-2788,1002
-17026,-466,5652,-1270,-4092,500
-18972,744,3902,-1456,-2482,-162
-18794,1026,3154,-1220,302,-738
-16440,1176,2792,-364,3314,-950
-14694,1292,3400,726,3976,-706
-13908,666,5346,1584,2420,-124
-14126,190,6110,1416,4,6
-14838,140,5616,840,-2106,194
-16302,-146,4316,628,-2160,228
-16888,-96,4188,682,-956,40
-16592,84,4500,778,348,-132
