ax,ay,az,gx,gy,gz
-728,-13312,-9520,-122,0,78
-774,-13262,-9592,-112,-46,48
-822,-13148,-9592,-26,-42,22
-802,-13176,-9566,0,-14,-2
-734,-13182,-9490,-4,42,-6
-746,-13298,-9552,8,10,-6
-782,-13280,-9518,-4,2,-22
-724,-13306,-9482,-26,62,30
-694,-13328,-9476,-24,78,42
-698,-13330,-9532,-40,64,62
-690,-13386,-9492,-60,74,62
-630,-13244,-9534,-28,34,62
-664,-13166,-9542,10,-10,10
-684,-13266,-9490,-10,-72,-24
-662,-13224,-9452,50,-16,22
-602,-13256,-9502,24,-2,84
-742,-13210,-9626,52,-92,62
-818,-13204,-9698,114,-214,-12
-854,-13200,-9614,182,-168,-52
-738,-13284,-9452,168,-120,-86
-694,-13362,-9466,174,-62,-70
-718,-13270,-9484,180,-4,2
-810,-13274,-9480,136,4,32
-760,-13322,-9458,70,66,62
-612,-13310,-9466,46,52,98
-674,-13324,-9478,64,-6,92
-748,-13444,-9456,60,-44,54
-752,-13426,-9438,66,-70,38
-770,-13286,-9488,60,-128,14
-840,-13274,-9488,60,-112,18
-840,-13306,-9492,46,-58,8
-720,-13182,-9498,40,-12,-10
-748,-13184,-9534,62,-30,-32
-778,-13276,-9568,132,-102,-62
-796,-13270,-9526,196,-140,-106
-784,-13304,-9470,190,-160,-138
-724,-13412,-9342,190,-148,-162
-708,-13510,-9342,142,-140,-156
-616,-13474,-9342,78,-188,-156
-740,-13482,-9262,0,-208,-128
-564,-13578,-9182,-228,-136,-70
-598,-13460,-9322,-326,-128,18
-694,-13336,-9544,-348,-158,90
-780,-13186,-9590,-336,-78,158
-714,-13174,-9608,-308,30,202
-764,-13140,-9740,-182,102,236
-780,-13034,-9736,-96,186,298
-798,-12936,-9734,40,226,308
-816,-12954,-9716,210,240,284
-926,-12886,-9758,324,250,228
