ax,ay,az,gx,gy,gz
-11088,-7510,-9392,102,-26,-22
-11062,-7552,-9466,96,-40,-20
-11050,-7484,-9486,114,-60,-14
-11074,-7556,-9400,126,-62,16
-11198,-7566,-9432,74,-14,-4
-11162,-7534,-9464,100,6,-38
-11006,-7544,-9382,84,-16,-24
-11006,-7636,-9390,12,-70,34
-11150,-7490,-9478,56,-76,58
-11132,-7428,-9434,120,32,24
-11118,-7588,-9380,20,48,32
-11114,-7680,-9444,-44,38,68
-10990,-7588,-9416,18,28,60
-11064,-7460,-9396,18,-2,22
-11142,-7528,-9424,-40,-22,-2
-11056,-7566,-9478,-24,-42,-20
-11028,-7534,-9522,28,-42,-38
-11060,-7494,-9432,18,-14,24
-11060,-7448,-9378,-10,-82,32
-11208,-7448,-9550,12,-156,-6
-11250,-7472,-9596,52,8,14
-11076,-7496,-9452,44,74,32
-10934,-7470,-9336,100,2,0
-11036,-7478,-9470,70,-42,14
-11068,-7448,-9520,80,-32,40
-11092,-7596,-9460,104,-24,40
-11194,-7620,-9448,92,-34,36
-11232,-7532,-9496,72,28,42
-11046,-7552,-9342,74,42,16
-11024,-7572,-9352,20,-18,8
-11082,-7548,-9432,-62,-42,-14
-11052,-7454,-9388,22,-40,0
-11024,-7492,-9410,48,-50,-36
-11088,-7542,-9470,8,-80,-24
-11072,-7544,-9430,20,-96,10
-11106,-7606,-9486,42,-130,2
-11240,-7474,-9564,12,-32,-8
-11162,-7494,-9500,18,14,-18
-10994,-7510,-9420,84,4,10
-10962,-7536,-9422,66,-22,26
-11080,-7494,-9388,24,-72,10
-11104,-7498,-9428,60,-106,16
-11192,-7574,-9478,52,-14,16
-11148,-7576,-9456,56,38,40
-11062,-7542,-9362,46,-14,18
-11076,-7488,-9470,28,-104,-16
-11238,-7608,-9532,-18,-62,-14
-11042,-7594,-9374,52,40,14
-10910,-7532,-9260,-8,-24,34
-11114,-7572,-9470,-58,-92,36
