ax,ay,az,gx,gy,gz
-944,-12238,-10758,-376,26,30
-818,-12124,-10786,-342,-40,50
-868,-12034,-10898,-280,-204,88
-1126,-12052,-10920,-234,-208,116
-1386,-12214,-10922,-218,-30,94
-1174,-12272,-10870,-220,120,44
-542,-12058,-10904,-152,16,-44
-480,-11844,-10888,56,-236,-44
-760,-11776,-10992,126,-386,-64
-1064,-11710,-11050,252,-454,-82
-1228,-11820,-11036,240,-398,-98
-1376,-12006,-10976,214,-376,-114
-1440,-12130,-10960,232,-206,-112
-1340,-12362,-10852,318,-48,-40
-1324,-12454,-10806,412,-26,-22
-1308,-12446,-10650,390,78,-66
-1162,-12308,-10620,186,138,-120
-1066,-12358,-10662,-16,156,-116
-768,-12432,-10674,-198,198,-36
-664,-12246,-10726,-178,78,4
-746,-12130,-10812,-88,-138,40
-1016,-12186,-10904,-58,-240,60
-1236,-12192,-10818,-48,-188,26
-1136,-12320,-10782,-160,-126,-20
-982,-12234,-10782,-150,-128,-20
-1090,-12108,-10774,-120,-104,28
-1218,-12176,-10784,-158,-58,50
-1268,-12264,-10868,-236,20,66
-1096,-12114,-11002,-210,92,54
-948,-11982,-10936,-62,110,54
-998,-11946,-10868,54,-16,10
-1044,-11974,-10944,90,-58,-24
-1082,-12012,-10966,126,-46,-46
-1092,-12026,-10948,186,4,-36
-1050,-12106,-10882,204,16,-24
-940,-12186,-10840,254,12,-4
-924,-12048,-10888,350,-34,-6
-1144,-11976,-10922,464,-102,-2
-1330,-12138,-10852,422,-40,-2
-1222,-12364,-10734,300,128,-18
-972,-12424,-10642,236,194,-22
-844,-12448,-10620,202,160,-20
-862,-12370,-10706,218,54,44
-994,-12200,-10744,210,-56,30
-1154,-12314,-10702,138,-26,22
-1082,-12516,-10548,-24,40,22
-758,-12476,-10576,-92,2,42
-714,-12398,-10608,-94,-100,86
-822,-12322,-10774,-96,-232,70
-1218,-12088,-10960,42,-304,18
