ax,ay,az,gx,gy,gz
-16074,1086,3680,2240,-104,-402
-16268,1008,3792,2370,96,-342
-16066,562,3978,2380,430,-210
-15864,314,4132,2192,406,-116
-15738,56,4088,1834,172,-44
-15832,100,3980,1306,-20,-52
-16020,140,4002,832,-16,-38
-16112,118,3982,244,-28,18
-16022,270,3960,-114,26,40
-15924,674,4002,-308,110,74
-15894,946,4084,-238,194,108
-15816,1062,4088,-130,178,166
-15906,672,3940,-164,-26,234
-15968,440,3792,-252,-90,214
-15950,286,3936,-398,-46,176
-15956,206,4046,-534,-64,178
-16046,172,4110,-708,2,196
-16122,114,4150,-824,124,202
-16056,68,4142,-888,178,200
-15872,118,4160,-852,182,182
-15804,186,4240,-724,144,192
-15866,188,4322,-572,20,150
-16016,192,4198,-494,-66,104
-16036,166,3964,-442,-40,100
-16024,58,4026,-440,142,94
-16076,38,4170,-466,182,58
-16038,142,4088,-428,188,82
-16006,194,3966,-412,222,114
-16008,104,4142,-350,356,150
-15982,64,4152,-282,406,108
-15894,98,4134,-234,406,32
-15942,288,4278,-122,360,16
-15888,520,4176,98,214,102
-15784,896,4204,438,108,280
-15808,916,4284,740,38,276
-15850,892,4272,948,-56,210
-15794,974,4236,954,-80,150
-15986,1082,4120,1028,-162,186
-16042,1132,4176,1102,-6,240
-15972,1052,4258,1102,86,186
-15846,820,4170,1016,148,46
-15810,746,4260,900,140,-94
-15756,804,4324,746,100,-158
-15744,810,4450,674,6,-142
-15786,696,4416,620,-148,-182
-15888,662,4152,600,-336,-324
-15972,584,4124,586,-318,-402
-15952,646,4136,562,-272,-408
-15976,478,4116,532,-332,-350
-15976,186,3928,464,-446,-380
