ax,ay,az,gx,gy,gz
-15534,46,3494,324,2964,814
-14358,-158,4274,8,2602,812
-13770,-68,4720,-380,1362,716
-13972,272,4576,-802,-372,354
-15044,760,4118,-920,-1138,42
-16892,662,3712,-930,-1134,-162
-16802,598,3260,-828,-136,-122
-15130,600,3974,-616,920,-140
-14298,992,5052,-268,560,-346
-14864,1186,5892,134,-526,-562
-17036,972,5636,400,-1942,-520
-18914,704,4302,448,-2054,-266
-19324,730,2456,602,46,366
-17590,260,2324,752,2500,828
-14924,-306,3720,416,3580,928
-13558,-374,4694,-64,2568,708
-12976,-58,5070,-506,716,450
-13806,690,4758,-736,-1354,62
-15502,1192,4322,-710,-2078,-242
-17116,1476,3476,-466,-1458,-560
-16666,1466,3514,-116,-132,-590
-15168,1276,4466,394,592,-462
-14698,726,5226,646,134,-316
-15366,-98,5620,652,-1064,-172
-17544,-348,4942,592,-2256,-404
-19002,378,3480,692,-1606,-728
-18394,1074,2540,1290,1250,-506
-16512,750,3482,1448,3024,-242
-14636,466,4560,1314,2986,-6
-13446,180,5386,966,1128,276
-13590,158,5324,794,-750,218
-15074,562,4458,650,-2140,-172
-16464,658,3614,638,-1924,-434
-16844,620,3366,752,-456,-346
-16154,258,3950,758,278,-94
-15826,-256,4650,596,80,68
-16436,-334,4984,308,-816,-54
-17280,466,4590,308,-1112,-280
-17504,1316,3594,698,-104,4
-16830,1224,3564,790,1028,504
-15474,380,4116,666,1398,978
-14596,52,4472,388,928,1144
-14164,-98,4698,40,68,884
-14610,-20,4488,-362,-886,208
-15560,258,4222,-512,-1052,-276
-16242,692,3790,-500,-716,-234
-16160,772,3636,-410,-68,-114
-15702,712,4402,-284,304,-54
-15822,644,5262,-52,-18,-112
-16734,550,5506,58,-788,-128
