ax,ay,az,gx,gy,gz
-16886,3956,2224,856,1700,-598
-16880,3630,2810,1616,2292,-214
-15764,2034,4500,1840,1444,272
-15078,1314,4514,2176,-174,374
-15810,1254,3950,2588,-1318,534
-16630,1306,3700,2604,-1090,664
-16772,1182,3758,2490,-664,852
-15978,1210,3088,2268,-506,1120
-15902,1342,2876,2248,-1020,1312
-16426,1114,2398,2060,-1384,1506
-16618,1168,2028,1632,-1010,1602
-16536,866,1932,920,-222,1332
-16118,632,2214,-48,456,704
-15782,746,2418,-720,842,118
-15566,750,2270,-1264,1174,-698
-15534,780,1990,-1554,1688,-1454
-15752,804,1788,-1754,2810,-2434
-15974,684,2462,-1978,3972,-3298
-16300,-116,3904,-1634,4572,-3816
-16082,1278,4096,-1552,3884,-4024
-16902,1342,5144,-638,2152,-2500
-17814,86,4870,490,-184,182
-16876,234,2976,964,-960,1266
-15412,154,2996,984,-464,1554
-14998,-150,3802,764,-408,1146
-15344,-94,3404,318,-758,508
-16434,122,2080,-308,-110,-150
-17038,168,1802,-746,1124,-570
-16852,330,1972,-878,2016,-736
-16622,1114,2122,-920,1858,-342
-16142,214,1810,-892,1760,-386
-15644,-430,1772,-1128,1824,-864
-15526,-442,2594,-1246,1724,-1310
-16192,-552,4336,-670,818,-972
-16592,916,3476,-418,-1000,-260
-17028,732,2364,194,-1488,790
-16408,320,2794,-128,-562,1038
-15666,-340,3110,-414,-342,802
-15622,-300,2624,-872,-552,246
-16404,244,2010,-1116,-368,-50
-17014,814,2026,-984,396,-104
-16866,1032,2450,-680,590,114
-16358,660,2826,-400,254,244
-16096,266,2834,-232,-112,406
-16192,20,2690,-104,-370,534
-16230,-168,2690,32,-262,516
-16088,-136,2838,74,-168,422
-15856,46,2830,138,-270,224
-15906,214,2830,276,-374,42
-16264,446,2858,448,-434,-108
