ax,ay,az,gx,gy,gz
-16188,1544,3076,-1380,2016,-136
-14972,1570,3642,-654,1238,-128
-14622,1728,3610,-94,-170,108
-15540,1620,2728,72,-1376,442
-16198,1192,2774,944,-1660,400
-16278,676,3192,1736,-1428,-84
-15846,456,3714,2204,-1404,-366
-15910,310,3812,2238,-1994,-714
-16092,274,3236,2216,-2586,-1066
-16038,162,2750,2104,-2982,-1574
-15914,478,2778,1804,-3482,-2298
-15888,662,2864,1566,-3816,-2664
-16258,666,3288,1362,-3936,-2668
-16398,312,3254,1066,-3648,-2518
-16400,-54,3322,796,-3284,-2186
-16168,-484,3638,344,-3154,-1842
-15994,-502,3794,-36,-3116,-1862
-15852,-506,3762,-618,-3170,-2042
-15946,-216,3728,-1064,-3154,-2188
-16268,422,3762,-1362,-2864,-2036
-16446,654,3640,-1348,-2440,-1752
-16332,912,3874,-1146,-1892,-1462
-15888,874,4234,-782,-1376,-1114
-15648,610,4406,-716,-1248,-898
-15686,240,4578,-644,-1480,-602
-15798,144,4532,-664,-1554,-378
-15974,-84,4442,-698,-1334,-176
-15906,60,4618,-864,-1120,-54
-15864,-376,4754,-894,-1160,104
-15984,-552,4668,-1128,-1206,152
-16066,-408,4548,-1256,-1076,250
-16158,-248,4548,-1354,-710,356
-16226,-330,4600,-1426,-436,380
-16198,-374,4432,-1546,-236,416
-16142,-438,4356,-1686,-64,482
-16174,-386,4380,-1732,48,514
-16288,-440,4402,-1808,248,648
-16344,-850,4182,-1816,520,542
-16194,-550,4228,-2030,714,806
-16108,-436,4214,-2046,930,740
-15976,-750,4220,-2012,1076,572
-15772,-294,4448,-2128,1028,706
-15788,-302,4324,-2048,930,850
-16010,-414,4258,-1874,1020,836
-16112,-440,4164,-1746,1106,612
-16164,-806,4196,-1496,1098,448
-16028,-416,4272,-1570,1094,432
-16082,-478,4170,-1438,1076,196
-16054,-346,4000,-1332,1032,218
-15984,-276,3962,-1184,1134,432
