ax,ay,az,gx,gy,gz
-2358,1014,-16290,26,-38,22
-2196,1026,-15958,26,-12,8
-2308,982,-16284,22,-12,6
-2232,1002,-16068,34,-18,12
-2310,1000,-16220,22,-18,16
-2246,994,-16096,30,-22,18
-2300,968,-16178,30,-30,8
-2246,980,-16082,28,-22,8
-2262,996,-16186,26,-26,10
-2270,986,-16068,16,-18,14
-2254,1004,-16162,30,-10,2
-2296,1008,-16154,38,-12,16
-2242,968,-16070,26,-22,10
-2286,974,-16172,30,-24,8
-2252,986,-16072,26,-32,-2
-2262,1002,-16250,34,-22,16
-2270,980,-16068,18,-18,20
-2298,1000,-16246,36,-30,10
-2284,998,-16024,16,-22,10
-2264,1014,-16166,18,-12,12
-2266,978,-16094,28,-24,14
-2276,976,-16164,16,-32,8
-2258,990,-16212,34,-24,18
-2272,966,-16124,26,-22,16
-2294,1034,-16194,18,-24,4
-2292,1000,-16106,28,-24,22
-2246,1002,-16150,30,-12,18
-2270,998,-16102,26,-14,8
-2254,1010,-16166,26,-28,10
-2252,976,-16128,28,-14,4
-2224,986,-16122,28,-22,10
-2256,1016,-16182,24,-16,10
-2290,1006,-16144,22,-28,8
-2308,982,-16146,28,-20,10
-2270,984,-16176,22,-14,10
-2274,994,-16120,28,-12,24
-2242,1002,-16134,26,-22,12
-2256,1020,-16098,26,-24,12
-2278,994,-16184,26,-34,6
-2276,976,-16122,34,-24,10
-2312,994,-16174,18,-26,4
-2272,988,-16094,28,-26,2
-2286,998,-16142,14,-20,18
-2266,980,-16146,28,-26,6
-2268,984,-16140,30,-30,-2
-2294,1024,-16142,24,-12,6
-2286,1012,-16066,8,-42,22
-2270,924,-16300,34,-22,10
-2302,1050,-16038,22,-16,8
-2230,904,-16184,26,-26,-2
