ax,ay,az,gx,gy,gz
-3848,4708,-15282,10,18,-10
-3882,4662,-15158,-126,-22,-42
-4026,4622,-15006,-138,-56,-14
-4050,4476,-15076,18,-8,28
-3898,4498,-15152,134,62,62
-3784,4546,-15336,90,-72,48
-3888,4534,-15396,2,-190,0
-4022,4492,-15354,-46,-132,-4
-4030,4566,-15140,0,-94,34
-4038,4638,-15184,74,-108,40
-3996,4704,-15174,4,-22,36
-3800,4584,-15078,-76,8,40
-3738,4458,-15108,-20,-126,36
-3772,4514,-15292,12,-196,-8
-3926,4660,-15270,-2,-208,-32
-4068,4638,-15268,-18,-202,-36
-4158,4544,-15202,-26,-156,-36
-4122,4428,-15138,12,-54,-8
-4062,4436,-15158,-10,-98,0
-4070,4488,-15150,-24,-72,26
-4066,4478,-15094,34,-36,68
-3872,4562,-15198,12,-46,46
-3732,4598,-15268,-36,-80,-30
-3914,4668,-15146,-104,-198,-80
-4218,4658,-15064,-88,-240,-30
-4180,4512,-15182,54,-90,-16
-3926,4632,-15122,156,10,42
-3836,4624,-15116,80,-84,0
-3822,4566,-15176,138,-224,14
-4018,4470,-15254,190,-282,26
-4218,4422,-15284,170,-224,22
-4262,4400,-15250,114,-22,28
-4124,4414,-15196,114,100,16
-3990,4440,-15252,142,80,26
-4008,4530,-15204,102,32,56
-4096,4596,-15170,82,-22,56
-4142,4572,-15108,58,44,36
-4082,4598,-15158,20,90,2
-4160,4554,-15088,210,126,66
-4352,4488,-15088,468,360,124
-4208,4382,-15252,356,604,198
-4048,4396,-15248,102,522,198
-3794,4368,-15134,118,500,176
-3570,4434,-15218,224,144,98
-3470,4516,-15220,130,-148,50
-3494,4502,-14906,202,-38,34
-3306,4452,-15388,242,-446,-46
-3618,4438,-15748,92,-930,-200
-4522,4484,-15572,-38,-786,-218
-4602,4510,-15196,70,-266,-138
