ax,ay,az,gx,gy,gz
-16356,-480,1892,112,102,22
-16342,-514,1902,112,136,12
-16362,-550,1934,56,144,-2
-16426,-576,1912,-16,144,12
-16442,-570,1850,-62,160,44
-16306,-496,1824,-48,146,62
-16282,-460,1850,-42,62,48
-16272,-442,1846,0,-12,36
-16354,-426,1854,-16,-92,28
-16376,-418,1832,-10,-106,54
-16398,-436,1786,6,-48,32
-16380,-448,1820,48,-6,46
-16432,-446,1802,66,70,0
-16440,-468,1772,68,142,6
-16380,-498,1778,50,158,32
-16348,-518,1774,32,140,42
-16320,-512,1762,-4,68,38
-16330,-464,1774,-20,36,20
-16348,-460,1774,-40,26,8
-16374,-470,1814,-78,2,24
-16416,-482,1756,-90,8,16
-16402,-406,1812,-86,24,18
-16380,-380,1814,-58,38,24
-16352,-424,1794,-44,56,20
-16376,-422,1784,-40,40,4
-16356,-412,1762,-46,4,-18
-16364,-424,1744,-56,-32,-14
-16372,-430,1796,-72,-38,0
-16352,-410,1774,-66,-40,0
-16380,-412,1766,-72,-42,-6
-16410,-464,1802,-106,-88,-4
-16382,-454,1768,-108,-84,10
-16372,-398,1738,-86,-62,16
-16326,-360,1778,-88,-86,-8
-16358,-432,1788,-76,-116,-10
-16426,-424,1794,-64,-112,-18
-16442,-452,1804,-70,-76,-6
-16438,-436,1824,-80,-38,-20
-16354,-422,1822,-54,8,-20
-16322,-416,1878,-44,0,-2
-16378,-436,1838,-50,-28,-14
-16382,-414,1852,-30,-20,14
-16356,-436,1874,-26,-46,14
-16314,-502,1860,-20,-88,-2
-16308,-498,1866,-60,-110,-20
-16320,-564,1852,-86,-170,-22
-16296,-526,1830,-98,-164,-26
-16314,-514,1906,-110,-214,-40
-16352,-456,1870,-98,-250,-18
-16452,-436,1806,-74,-270,0
