ax,ay,az,gx,gy,gz
-14240,-3582,7508,-266,836,650
-13906,-3712,7676,-764,522,422
-13704,-3464,7574,-960,94,142
-13914,-3094,7376,-1126,-278,30
-14286,-2970,7596,-1034,-274,82
-14270,-3098,7420,-912,-344,36
-14196,-2276,7254,-262,-378,-44
-13904,-2644,7092,-38,-260,-118
-14218,-3516,7390,-78,288,-312
-14580,-3496,7566,-224,372,-544
-14766,-2366,7628,-38,270,-498
-14490,-2680,7532,578,22,-628
-14766,-2976,7018,710,166,-1038
-15480,-2942,6880,264,380,-1190
-15882,-3210,7058,-284,268,-656
-15608,-4368,6406,-906,954,494
-14506,-3964,6534,-1380,1604,792
-13726,-2436,7290,-730,1340,1222
-14048,-2430,7276,-174,848,1092
-14848,-2694,6988,114,296,910
-15724,-3296,5988,-184,-234,1046
-15878,-3150,5570,-576,36,1400
-15706,-3114,5646,-762,928,1666
-15526,-3434,5894,-776,1582,1066
-15142,-2806,6080,-124,1860,1126
-14902,-3216,6010,186,2246,1100
-15140,-3220,5962,236,2320,1000
-15356,-2574,5706,248,2268,1144
-15298,-1950,5570,320,2224,1722
-15858,-1658,5794,524,2386,2312
-16216,-1812,5740,922,2436,2258
-16324,-2724,5468,836,2408,1834
-15914,-3430,5122,120,2462,1156
-15788,-3638,5204,-558,2248,716
-15342,-2524,4818,-1000,2112,772
-15362,-2024,4800,-884,2372,1306
-15732,-2216,4908,-818,2578,1718
-15694,-1866,4952,-1174,2528,2146
-15352,-1332,4796,-1070,2294,2424
-15328,-1750,4806,-454,1824,2586
-15482,-1518,4396,-604,1840,2226
-15774,-944,4598,-302,1760,1758
-15734,-1120,4710,-16,1694,1800
-15652,-1626,4444,396,1560,1582
-15586,-2140,4070,240,1536,1380
-15686,-1826,3794,-184,1806,1294
-15994,-1802,4094,-192,2026,1420
-16242,-1728,4300,-694,1976,1442
-15666,-2242,4116,-1726,1244,2088
-15226,-3132,3892,-2328,678,2368
