ax,ay,az,gx,gy,gz
-17504,1026,1838,-430,-1204,4
-16682,808,2384,736,886,410
-15848,438,2554,864,1324,864
-15432,36,2052,1498,1246,1056
-15592,-1056,2084,1778,1292,532
-15392,-2254,2482,538,-722,-380
-15490,-874,1940,-50,-1392,-388
-16266,946,1666,1352,-1120,-440
-16962,602,2712,1314,-520,-446
-17038,832,2312,838,-614,-294
-17754,678,2022,1108,-546,218
-17580,1114,2246,1296,2,618
-16866,556,2186,1542,288,1382
-16004,204,1918,1400,-134,1484
-15720,290,1928,998,-592,1234
-15728,56,1472,612,-132,762
-15104,16,2034,602,206,-128
-15354,752,2688,520,10,-982
-16292,682,2424,708,-184,-1660
-17434,262,2588,586,372,-1476
-16832,304,2496,1106,1372,-1146
-16520,438,3094,1352,1398,-1000
-16346,1098,3330,1640,620,-768
-16298,492,2950,1990,-534,-238
-16690,-8,2108,2092,-1534,294
-16386,-290,1944,1800,-1870,644
-16088,-506,1752,1420,-1622,812
-15874,-336,1996,1090,-990,600
-15754,-106,1852,844,-690,110
-15908,-92,1402,522,-770,-384
-15978,198,1588,782,-1660,-644
-17106,-766,1076,42,-1630,-510
-16592,154,2322,-594,-1514,-84
-16922,-664,2414,-684,-2002,276
-16654,374,1738,120,-1322,404
-15980,662,2726,504,-1272,322
-16400,-286,2754,878,-1506,178
-16488,410,3004,1094,-1280,62
-16552,112,3556,60,-400,134
-16056,232,4080,406,-208,150
-16032,-558,3164,530,-390,160
-15530,-388,4310,1076,-424,334
-15710,-206,4374,1032,-1102,128
-16044,112,4422,1292,-1108,24
-16148,34,4192,1604,-1384,36
-16736,454,2466,2514,-778,272
-16606,-142,2388,2370,210,284
-16082,-496,2700,1124,374,96
-16230,-266,2608,738,458,-12
-16378,-358,2412,424,788,-40
