ax,ay,az,gx,gy,gz
-5938,-8030,-13074,-890,266,-880
-5942,-7488,-12802,-788,308,-878
-5876,-7122,-12644,-350,-202,-82
-5908,-7204,-12576,-84,-420,462
-5960,-7510,-12506,64,-536,666
-5920,-7752,-12742,-348,-570,548
-5948,-7750,-12866,-688,-448,266
-5938,-7576,-13050,-710,-476,236
-5906,-7626,-13276,-574,-494,360
-5970,-7714,-13312,-168,-362,472
-5984,-7770,-13374,142,-200,472
-6104,-7706,-13232,236,-116,410
-6120,-7576,-13112,278,-218,462
-6202,-7560,-13068,350,-410,568
-6172,-7674,-13098,498,-476,648
-6248,-7856,-13016,512,-52,372
-6274,-7888,-13006,462,406,-56
-6238,-7824,-12950,534,574,-206
-6158,-7806,-12800,642,634,-142
-6068,-7844,-12696,492,350,108
-6098,-8012,-12804,54,28,336
-6018,-8090,-13062,-188,-364,448
-5962,-8010,-13150,-84,-408,562
-5954,-7776,-13150,184,-370,782
-5906,-7508,-12978,530,-470,1292
-5966,-7540,-12776,800,-928,1902
-6090,-7922,-12996,804,-1410,2160
-6362,-8140,-13142,520,-752,1454
-6450,-7828,-13122,452,548,98
-6420,-7636,-13006,584,1304,-538
-6362,-7484,-12796,666,1542,-712
-6302,-7390,-12628,592,1222,-378
-6336,-7526,-12644,386,780,-4
-6386,-7800,-12772,-24,286,122
-6340,-7974,-12922,-272,146,-64
-6264,-7964,-13128,-370,148,-332
-6184,-7864,-13198,-264,258,-512
-6138,-7838,-13180,-146,312,-592
-6066,-7810,-13144,78,312,-440
-5972,-7734,-13042,292,170,-228
-5962,-7828,-12980,266,284,-156
-5998,-7838,-12874,190,392,-240
-5926,-7796,-12836,44,360,-302
-5920,-7798,-12856,-170,300,-288
-5946,-7876,-13020,-414,114,-258
-6016,-7886,-13172,-388,8,-262
-6064,-8000,-13248,-104,342,-462
-6036,-8060,-13198,66,896,-914
-5944,-7968,-12972,182,968,-1088
-5856,-7740,-12822,160,712,-890
