ax,ay,az,gx,gy,gz
-14450,1926,3318,-1386,2216,-444
-13678,1702,4064,-408,-78,-610
-14404,1904,3680,288,-1816,-198
-15844,1112,2600,1138,-2188,328
-16762,340,2432,1444,-1610,240
-17260,-84,2564,1444,-1052,-88
-17392,-312,2452,878,-518,-598
-16882,106,2206,792,108,-746
-16282,552,2358,652,138,-598
-15980,690,2300,604,-154,-390
-15854,710,2568,560,-426,-200
-15776,850,2732,548,-734,-62
-15892,614,2658,434,-1050,24
-16548,182,2512,302,-1206,-86
-17058,136,2364,214,-936,-356
-16954,388,2404,48,-522,-646
-16504,612,2618,-14,-310,-684
-16110,678,2804,148,-348,-592
-15806,522,2856,342,-564,-612
-15834,532,2852,390,-696,-676
-16026,610,2884,456,-820,-638
-16194,558,2828,456,-910,-530
-16418,510,2618,340,-922,-424
-16496,538,2538,276,-690,-414
-16432,592,2666,292,-450,-434
-16428,562,2838,332,-284,-354
-16456,446,2792,408,-284,-306
-16394,398,2692,524,32,-306
-16192,532,2896,626,286,-366
-15986,552,3164,794,264,-314
-16038,450,3122,768,66,-212
-16204,180,2800,596,-74,-82
-16378,90,2648,346,102,-78
-16208,112,2850,208,334,-116
-15892,190,3096,32,368,-74
-16070,102,3144,-104,168,88
-16496,46,2754,-334,48,188
-16480,40,2680,-436,456,172
-16218,166,3072,-488,732,178
-16042,298,3278,-454,522,244
-16134,266,3072,-462,268,282
-16176,238,2842,-496,396,236
-16070,232,2972,-526,490,218
-16086,230,3090,-524,320,226
-16272,174,2866,-526,52,246
-16334,170,2700,-542,128,238
-16186,176,2822,-598,268,212
-16154,188,3058,-578,212,172
-16266,174,3070,-532,56,154
-16330,280,2900,-484,84,142
