ax,ay,az,gx,gy,gz
-3292,4716,-15026,344,-1688,-426
-4696,4324,-15696,200,-1470,-214
-5624,4210,-15374,292,-248,78
-4872,4282,-15250,400,906,228
-3558,4096,-15286,244,1264,206
-2626,4200,-15066,58,582,50
-3054,4206,-15098,-310,-210,-22
-4076,4386,-15548,-456,-486,32
-4148,4564,-15770,-218,128,70
-3500,4736,-15320,-8,818,40
-2942,4594,-15106,-8,780,62
-2496,4614,-15280,-8,288,78
-2498,4548,-15536,84,-184,42
-2804,4400,-15456,-74,-356,-122
-3344,4372,-15164,-154,-624,-296
-3856,4434,-15140,52,-682,-234
-4346,4682,-15240,310,-382,-32
-4352,4792,-15360,262,8,108
-3958,4802,-15350,64,394,86
-3230,4794,-15272,-92,418,118
-2788,4660,-15290,-46,216,36
-2960,4660,-15348,262,-374,106
-3402,4610,-15360,362,-478,150
-3628,4364,-15354,266,-188,194
-3574,4146,-15254,-100,-86,152
-3564,3998,-15370,-166,-24,166
-3624,3940,-15428,-64,22,156
-3652,4206,-15432,32,38,130
-3472,4366,-15366,-12,170,100
-3254,4454,-15268,62,180,28
-3206,4602,-15208,2,52,-90
-3344,4760,-15232,-26,-84,-136
-3552,4862,-15338,-20,-74,-92
-3624,4704,-15328,-16,14,28
-3572,4588,-15364,82,32,126
-3524,4492,-15286,252,36,128
-3576,4430,-15302,264,104,52
-3536,4490,-15278,190,214,-52
-3324,4472,-15290,178,238,-132
-3188,4522,-15356,188,100,-132
-3228,4504,-15268,182,-70,-42
-3344,4490,-15230,182,-170,12
-3428,4322,-15366,184,-190,50
-3474,4242,-15320,66,-134,-28
-3530,4236,-15346,156,-164,-14
-3578,4392,-15548,82,-218,24
-3500,4442,-15428,70,-30,54
-3314,4340,-15160,90,30,-14
-3284,4368,-15280,18,-60,-76
-3298,4342,-15366,-12,-136,-68
