ax,ay,az,gx,gy,gz
-2218,1042,-16150,18,-22,14
-2196,1042,-16186,22,-20,18
-2174,1040,-16160,28,-26,10
-2200,1044,-16202,20,-30,12
-2186,1038,-16140,34,-12,8
-2182,1026,-16130,20,-26,8
-2188,1032,-16150,12,-24,22
-2230,1036,-16182,26,-30,20
-2194,1046,-16144,20,-28,22
-2184,1058,-16174,24,-22,8
-2208,1032,-16140,26,-26,10
-2188,1014,-16110,28,-18,6
-2192,1026,-16114,16,-24,16
-2198,1008,-16140,28,-28,8
-2198,1018,-16142,30,-22,10
-2210,1046,-16148,16,-12,6
-2188,1026,-16152,28,-24,8
-2206,1038,-16146,16,-32,6
-2198,1040,-16172,24,-18,12
-2168,1036,-16166,32,-32,-8
-2184,1034,-16152,24,-18,12
-2210,1010,-16132,24,-22,14
-2214,1008,-16144,16,-20,12
-2212,1040,-16176,16,-26,12
-2190,1032,-16152,14,-14,20
-2186,1050,-16134,22,-18,2
-2192,1032,-16134,28,-30,6
-2204,1030,-16124,24,-28,4
-2204,1034,-16150,30,-10,8
-2192,1038,-16148,20,-26,6
-2202,1026,-16148,24,-24,-6
-2188,1030,-16132,36,-30,20
-2182,1048,-16168,32,-22,4
-2180,1028,-16114,32,-24,12
-2182,998,-16172,26,-20,0
-2188,1028,-16142,24,-12,12
-2204,1030,-16134,26,-20,14
-2214,1020,-16180,26,-20,10
-2216,1062,-16164,22,-24,2
-2190,1044,-16184,22,-24,2
-2194,1010,-16128,20,-12,4
-2214,1036,-16152,14,-26,-2
-2200,1048,-16110,16,-20,10
-2186,1026,-16154,24,-20,6
-2192,1034,-16146,26,-22,12
-2206,1058,-16176,30,-12,4
-2200,1052,-16160,24,-18,14
-2182,1050,-16144,22,-10,16
-2184,1044,-16180,28,-16,4
-2168,1036,-16182,22,-20,4
