ax,ay,az,gx,gy,gz
-15718,-2848,3294,1216,-1528,-230
-15604,-2250,3652,1188,-1768,462
-14744,-2250,3676,1066,-1500,1054
-14598,-1598,4320,1002,-2146,1648
-15166,-1094,4030,1290,-2998,2242
-16808,-1690,3568,1694,-2432,2918
-17700,-1834,3670,1784,-1462,2880
-17240,-1858,3358,1486,-438,2534
-16628,-1072,3734,1584,208,2192
-16502,-8,5540,1782,360,1560
-16820,602,6102,2036,-178,408
-17132,464,5866,2172,-302,-640
-16138,288,4750,1978,366,-1676
-14720,1308,4796,2090,1254,-1476
-13810,1824,5894,2238,902,-688
-14242,888,6282,1940,-248,-374
-15746,718,5608,1412,-1058,-544
-17116,1896,4152,790,-646,-492
-17526,3336,3926,294,-84,198
-17302,4154,5100,606,770,1448
-16260,4456,5626,1048,774,2074
-15260,4168,5016,1164,-370,2672
-15118,3452,4248,1186,-946,2900
-14974,2560,3716,784,-900,2884
-14932,2110,4182,272,-666,2464
-14962,1866,4278,-172,-918,1794
-15198,2014,3408,-778,-858,842
-15484,2340,3344,-794,-262,288
-15516,3108,4016,-668,-156,-398
-15468,2948,3474,-242,254,-964
-15604,2722,3314,230,1022,-1446
-15456,2280,3262,250,1476,-2104
-17056,732,3656,-106,2194,-2558
-18166,1698,5576,432,2238,-2064
-17546,2520,5462,1058,1558,-768
-16138,1978,4846,1928,2530,170
-15270,-588,5508,1390,3220,42
-14700,-2084,6398,166,2622,-352
-14736,-2680,5464,-1198,866,-866
-15804,-1932,4866,-1860,114,-1462
-16936,-770,4258,-2320,-472,-2566
-16732,-764,3560,-2190,-332,-2952
-16088,-190,3408,-2280,-840,-2892
-15772,408,2344,-1892,-1490,-2360
-16246,386,1978,-1378,-1028,-1920
-16038,224,2446,-1228,-164,-616
-14964,-366,2782,-942,294,584
-13482,-432,3298,-524,596,2216
-12624,-394,3916,-574,42,3852
-12848,-530,5256,-442,-1398,5114
