ax,ay,az,gx,gy,gz
-16178,596,1384,-138,30,0
-16156,672,1334,-26,-50,-116
-16182,622,1340,146,-114,-296
-16202,566,1138,322,-26,-574
-16158,504,1202,342,84,-716
-16230,432,1502,378,-104,-796
-16506,94,1966,230,-354,-810
-16718,-192,1988,78,-694,-790
-17128,284,1574,180,-334,-422
-16970,280,2216,164,-290,-20
-16858,164,1780,238,-434,404
-16296,314,1604,138,-276,550
-15942,400,1750,-114,-300,410
-16072,490,2026,-272,-386,166
-16400,626,2142,-466,-510,-32
-16650,796,1990,-378,-636,-90
-16748,836,1718,-240,-668,76
-16356,904,1852,-58,-436,272
-16064,544,2248,46,-574,298
-15978,664,2152,190,-1064,224
-16162,580,2130,152,-1058,184
-16202,448,2278,-22,-798,104
-16320,120,2472,-218,-704,-18
-16556,232,2342,-314,-750,-148
-16688,572,1978,-454,-376,-194
-16464,680,2230,-486,-4,-72
-16254,434,2550,-450,-72,-182
-16084,682,2582,-604,-466,-362
-16212,930,2586,-516,-550,-448
-16286,798,2712,-292,-218,-660
-16186,854,3102,-48,50,-840
-16038,956,3404,380,70,-1106
-15978,980,3728,702,96,-1188
-15970,972,3826,906,-76,-1250
-16422,712,3632,1052,-290,-1150
-16666,392,3550,1036,-92,-1032
-16350,-74,3556,822,384,-856
-15796,-654,3538,408,704,-912
-15642,-1278,3270,-302,848,-1442
-15494,-1300,3508,-540,1200,-2094
-15374,-1062,4286,-746,1552,-2698
-15584,-198,5630,-776,1362,-2802
-15918,-244,5870,-16,506,-2546
-15886,-862,4878,472,-566,-1798
-16172,-1730,4074,934,-1708,-1814
-17244,-2310,1756,858,-2038,-1918
-18358,-2628,572,920,122,-1552
-17470,-2506,884,414,2078,-836
-15014,-2286,596,-1162,1304,-1016
-15260,-1782,-86,-1960,-924,-1504
